year,month,oni,
2021,3,-0.84,2021/3/1
2021,4,-0.66,2021/4/1
2021,5,-0.48,2021/5/1
2021,6,-0.38,2021/6/1
2021,7,-0.4,2021/7/1
2021,8,-0.49,2021/8/1
2021,9,-0.67,2021/9/1
2021,10,-0.81,2021/10/1
2021,11,-0.98,2021/11/1
2021,12,-0.98,2021/12/1
2022,1,-0.97,2022/1/1
2022,2,-0.93,2022/2/1
2022,3,-0.99,2022/3/1
2022,4,-1.06,2022/4/1
2022,5,-0.99,2022/5/1
2022,6,-0.85,2022/6/1
2022,7,-0.81,2022/7/1
2022,8,-0.91,2022/8/1
2022,9,-1.01,2022/9/1
2022,10,-0.99,2022/10/1
2022,11,-0.92,2022/11/1
2022,12,-0.83,2022/12/1
2023,1,-0.68,2023/1/1
2023,2,-0.43,2023/2/1
2023,3,-0.15,2023/3/1
2023,4,0.16,2023/4/1
2023,5,0.48,2023/5/1
2023,6,0.77,2023/6/1
2023,7,1.07,2023/7/1
2023,8,1.32,2023/8/1
2023,9,1.56,2023/9/1
2023,10,1.78,2023/10/1
2023,11,1.92,2023/11/1
2023,12,1.95,2023/12/1
2024,1,1.78,2024/1/1
2024,2,1.48,2024/2/1
2024,3,1.14,2024/3/1
2024,4,0.71,2024/4/1
2024,5,0.39,2024/5/1
2024,6,0.15,2024/6/1
2024,7,0.04,2024/7/1
2024,8,-0.11,2024/8/1
2024,9,-0.21,2024/9/1
2024,10,-0.26,2024/10/1
2024,11,-0.37,2024/11/1
2024,12,-0.52,2024/12/1
