ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,17.9,15.8,20.5,20.8,28.7,32.3,34,33.7,34.2,26.8,27,21.4
2,23,19.2,17.9,19.9,30,31.8,31.5,31.3,37,27.7,25.1,21.6
3,24,20.6,21.1,20.8,32.9,35.2,33.1,29,31.8,31.8,23.5,19.6
4,24.7,18.4,20.1,18.1,30.6,36.1,33.9,32.9,30.3,30.5,22.9,18.5
5,23.8,17.4,16.1,19,29.6,35.2,33.7,33,30.4,26.8,23.9,19.8
6,22.4,20.6,23.2,18.8,30.4,35.6,34.6,35.1,30.6,25.4,27.7,19.8
7,26.5,18.8,26.6,17.8,25.4,30.4,35.2,35.5,32.5,25.7,29.9,20
8,19.9,17.3,23.1,19.8,33.6,29,35.8,32.4,34,26.6,21.5,19.9
9,20.4,16.2,26.2,21.9,34.4,30.4,34.3,33.7,31,26.2,22.1,20.8
10,25,19.7,23.9,25.6,30.1,32.4,36.1,34.8,31,25.7,22.2,20.7
11,21.5,21.3,18,24.7,25.1,30.9,34.9,33.4,32.2,26,22.8,21.1
12,17.4,24.4,21.7,18.6,23.7,32.6,34.7,35.7,31,25.8,23.1,20.8
13,18.2,23.1,22.3,20.5,26.5,32,36.1,34.4,28.9,25.5,23.6,22.2
14,18,22.9,17,22.6,32,32,35.5,35.2,32.9,26,23.2,20.8
15,17.6,24.8,20,25.5,30.9,35,33.5,35.1,34,26.2,26.6,17.2
16,19.2,20.8,22.9,28.1,31.2,36.1,34.8,34.9,30.9,26.5,27.5,16.7
17,17,12.3,27,27.5,32.3,34.1,36.5,33.4,32.7,24.7,26.1,18.4
18,15.3,15.8,21.9,25.6,28.9,37.6,36.3,32.7,31.6,24.5,30.9,21.1
19,15.3,24.1,23,28.1,26.1,36.1,33.5,34.4,34.4,23.8,27.1,18.8
20,16,20.1,21.7,24,26.6,35.6,32.7,34.4,28.4,24.7,27.8,18.1
21,21,27.4,24.3,24.7,28,36,32.7,33.2,28.5,25.7,24.5,17.4
22,22.1,23.6,31.2,19.3,25.6,36.9,33.2,29.5,28.3,22.5,26.4,20.2
23,23.8,20.2,21.7,19.7,24.5,37.6,34,32.2,28.9,22.7,22.9,20.3
24,21.9,26,21.8,18.2,27.2,34.3,36.3,36.3,26.6,23.3,23.1,19.2
25,22.7,24.8,28.8,20.8,27,33.3,33.1,38.5,26.8,25.1,26.2,19.4
26,18.6,24,31.2,21.8,30.1,33,34.2,37,26.6,27.2,28.1,21.6
27,15.9,19.6,28.4,23.5,27.7,32.8,33.9,33.4,22.8,27.1,23.9,22.2
28,15.4,25.2,21.9,25,23.7,34.9,32.9,32,23.1,25.8,21.7,21.3
29,13.7,25.6,19.5,28.8,28.9,35.7,34,31,27.1,24.5,19.8,23.1
30,14.1,-- ,23.6,30.5,29.7,36,31.7,31,25.3,24.1,20.6,19.7
31,14.8,-- ,20.8,-- ,33.6,-- ,34,31.7,-- ,24.8,-- ,12.4
