ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,18.9,21.8,21.4,21.8,30.9,28,32,33.2,35.4,27.2,24.8,23.5
2,18.1,18.5,16.8,20.7,30.1,27.2,29.5,31.5,34.9,24.3,23.3,24.6
3,19.3,13.7,15.9,22.3,32.2,25.8,31,33.9,32.4,24,23.5,25.8
4,21.8,13.2,14.7,17.9,29.6,27.4,31.6,31.9,30.7,25.7,25.8,24.7
5,23,14.7,19.5,23,21.2,25.9,31.8,34.9,31.5,24.2,27,17.9
6,22.1,14.2,17.5,24.6,22.2,27.4,35.6,33.7,34.9,25.9,25.1,22
7,19.8,13.7,14.6,25.2,26.4,31.2,32.9,31.8,32.7,25.4,24.7,19.3
8,18.8,14.3,17.7,18.2,28.8,27,32.2,30.1,28.3,23.8,25,19.1
9,19,15.2,24,19.4,31.1,25,31.8,31.2,29.6,25.6,29.7,20.1
10,21.4,18.3,24.3,25.9,34.3,25.3,33.1,31.8,27.7,26.2,27.2,20.9
11,19.8,23.7,25.8,27.1,30.7,26.1,31.9,30.3,25.7,26.4,27.8,22.7
12,16.5,22.8,21.1,28.6,31.4,27.3,34.6,29.9,25.2,26,24,20
13,14.3,21.9,17.8,27.6,31,27.1,33.1,33.4,30,24.6,27.5,20.9
14,18.1,21.1,17.7,19.6,25.8,31,34.1,32.3,30.6,25.1,24.7,23
15,21.7,20.9,21,20,30.1,31.2,33.5,31.3,29.3,23.8,22.7,23
16,24,24.7,24.4,22.3,32.2,30.7,33.1,30.6,30.4,25.2,20.9,22.2
17,17.7,24.5,27.7,23.8,27.3,32,31.4,31.2,32.3,24.3,20.9,23.2
18,25,26.2,16.8,29.9,27.5,30.9,33.3,35.5,31.9,24.1,21,22.5
19,15,21.6,18.5,31.6,26.7,34.6,32.6,32.2,32.5,23.7,20.9,20.7
20,13.9,24.5,20,31.3,23.6,35.1,33.6,32.7,33.1,24,21.1,20
21,11.6,22.5,19.6,28.4,24.8,32.3,33.9,31.7,30.6,24.6,21.3,19.7
22,11.3,28.6,16.4,32.1,25.8,30.6,34.9,31.2,27.4,25,21.7,25.2
23,12.4,18.5,17.4,28.7,27.8,31,34.5,30,25.2,24.8,24.4,19.9
24,11.6,24.9,18.1,20.6,27.8,30.8,33.8,28.2,25.7,25.4,26.5,19
25,12.3,19.5,18.4,26.2,32.3,31.1,34.6,29.1,27.8,28.1,24.3,18.5
26,17.1,21.2,17.9,30.8,30.8,32.4,33.1,34.1,27.3,22.1,23.7,18.5
27,13.5,25.7,18,25.6,31.3,31,34.2,34.7,26.6,21.8,19.1,19.2
28,14.3,25.5,18.5,22.9,32.2,30.2,31.8,31.5,28.3,23.5,19.9,18.3
29,15.8,26.6,23,30.4,33.8,29.4,32.6,34.2,27.7,24.8,20.6,17
30,18,-- ,20.4,29,31.1,30.7,35.2,35.1,27.5,23.4,21.5,20.5
31,19.7,-- ,20.4,-- ,31.2,-- ,33.9,32,-- ,24.3,-- ,11.5
