ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,21.3,18.4,12.5,25.8,34.1,33.2,32.5,32.7,34.4,27.5,23.1,23
2,18.8,23.9,14.2,27.6,25.7,27,32.8,33,32,26.7,23.2,21.6
3,20.7,18.7,16.9,29.7,24.5,27.1,34.6,32.8,32.3,28.1,22.8,19.1
4,23.2,13,21.2,30.4,29.5,28.8,34.8,33.1,33.9,26.4,25.1,18.9
5,18,23.6,25.8,33.6,30.9,30.4,35.8,30.4,33.7,26.2,25.4,19.8
6,10.9,18.9,21.3,24.6,32.1,30.4,37.1,31.4,31.7,27.4,25.2,21.5
7,12.8,17.2,19,21.9,28.6,29.6,33.2,30.9,30.6,26.9,22.7,24.2
8,15.1,15.4,20.7,28.1,28,29.9,37.2,28.9,28.5,26.9,27.7,23
9,16.6,14.4,19.6,30.1,30.3,26.7,36.8,30.5,29.8,26.9,29.4,21.7
10,18.9,18,21.9,29.1,32.7,24.3,34.3,30.2,27.4,27.8,26.3,20.2
11,19.9,19.6,25.8,34.5,25.6,31.8,32.1,33.8,27.9,27.1,24.9,24.5
12,22.6,19.2,19.4,31.9,34.2,31.8,30.8,34,31.5,26.7,23,23.7
13,21.1,24.3,11.7,27.8,28.1,30.1,28.2,33.4,28.1,26.9,28.1,23.9
14,21.8,22.9,14.8,18.4,22.8,32.6,29.9,32.4,28.2,27.1,25.1,19.5
15,24.3,27.4,22.2,18.4,22.7,34.4,29.5,33.9,27.3,27.4,21.4,18.3
16,22.6,21.5,19.1,19.3,22.9,34.1,32.9,36.3,27.6,27.1,23.7,17.2
17,20.1,15.7,28.9,20.7,27.6,33.8,33.4,34.4,25.6,28.4,25.5,16.1
18,23.6,17.9,32.1,26.6,31.9,33.3,32.1,30.8,28,27.4,28.7,17.8
19,20.1,18.2,20.3,31.3,25.6,31.4,33.6,32.1,27.7,27.5,26.4,19.4
20,17.9,18.3,19.1,23.7,30.3,34.4,33.2,30.6,28.5,27.2,23.5,18.7
21,16.9,25.2,19,29.2,31.5,34.7,34.6,30.4,24.8,27,23.2,18.5
22,12.9,23.5,23.2,34,30.9,33.3,32.6,28.8,27.1,29.8,26,18.9
23,15,17.4,19.2,25.7,25.8,34.3,33.3,29.5,27.9,27.5,26.2,20.2
24,14.6,17.6,17.4,22.6,24.9,32.4,29.2,27.5,27.1,24.6,23.6,25.3
25,16.5,23.2,20.8,22.8,29.6,32.5,32.1,31.8,27,25.8,24.5,18.7
26,14.1,16.9,18.6,26.5,33.3,33.7,29.7,31.9,26.9,25.6,28.9,20.5
27,15.5,16.4,17.8,22.5,30.2,34.2,31.9,33.3,27.9,24.6,23,19.7
28,20.6,17.7,22.5,19.7,26.2,33.6,33.5,31.7,30.9,26.8,20.5,17.9
29,20.3,-- ,19.3,27.7,21.6,34.2,33.3,35.5,26.9,25.6,21.6,16.5
30,26.3,-- ,25,29.2,20.6,36.4,32.6,37,26.9,24.1,21.6,21.1
31,21.4,-- ,25,-- ,26.5,-- ,33.1,36.1,-- ,23.6,-- ,19.2
