ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,23.4,16.9,24.6,30.9,26.2,34.2,33.5,33.5,31.7,30.1,23,23.1
2,21.2,14.7,23.5,23,29.3,34.8,32.5,34.4,32.4,30.2,20.9,25.9
3,19.2,20.6,23.3,15.9,30.7,31.5,33.4,35.1,31.7,28.8,21.5,19.2
4,17.7,22.8,24.2,16.5,30.6,27.1,34.7,33.7,31.8,28,22.1,19.6
5,17.3,22.3,20.1,19.2,26.4,32,32.8,34,26.9,26.6,21,19.2
6,16.5,26,13.7,18.6,27.6,25,34.1,34.4,27,26.2,21.3,19.5
7,14,26.9,13.8,18.3,25.2,26.2,34.6,29.2,29.4,26.4,23.1,19.7
8,14.1,21.8,16.1,18.9,30.7,24.3,35.9,31,27.8,29.2,21.6,19.1
9,17,24.1,17,19.8,29.6,25.6,33.1,33.9,29,24.8,21.5,23.5
10,17.6,18.9,21.7,19.8,30.3,26.4,35.6,32.1,29.6,24.1,21.5,28.1
11,21.6,17.4,16.6,21.2,30.7,31.3,34,34,28.8,24.5,21.9,24.6
12,20.4,22.7,18,28.2,30.2,28.1,32.2,26.9,29.3,24.3,22.2,26.4
13,17.8,24.3,20,25.3,24.5,31.2,34.2,31.3,28,24.1,22.9,21.1
14,17.6,25.9,26.6,25.4,24.7,34.1,36.6,30.2,30.3,23.5,23.8,18.1
15,23.4,19.9,28.3,24.6,30.9,32.8,36,34.5,27.7,23.5,24.4,19.5
16,25.2,24.9,21.6,25.6,35.3,27.4,35.9,32.9,28.9,22.6,25,20.5
17,19.5,28.8,17.7,29.3,28.9,29.3,35.8,29.6,26.6,22.5,26.1,24.1
18,16.8,21.8,17.4,22.3,31.6,32.8,37.2,28.9,27.1,22.4,22,21.1
19,19,17.3,16.7,25.2,23,30.8,37,29.4,26.4,23.8,19.7,19.4
20,22.8,18.9,17.4,28,24,32.5,37.3,30,32.3,23.2,19.9,22.1
21,19.4,18.2,20.3,29.4,27.7,32.6,36.7,31.4,27.4,24.6,20.7,24.2
22,18.2,19.3,23.2,29.4,32.2,34.1,34.7,31.6,28,24.7,21.8,24.3
23,19.1,20.3,27.2,27.2,30.8,35.5,32.2,31.4,31.4,26.1,21.6,20.8
24,14.7,25,28.2,24,34.2,36.5,32,30.9,30.2,25.9,22.7,19.2
25,19.5,18.4,21.9,20.6,37.3,32.5,32.4,30.1,28.5,26.5,22.2,20.9
26,21.9,19.3,26.2,22.9,32.4,32,34.7,31,28.2,23.8,21.7,20.4
27,15.9,22.3,24.9,28.2,34.2,31.6,37.4,35,31.1,24.8,18.4,21.1
28,15.8,20.9,27.1,23,31.7,32.3,34.4,33.4,31.7,28.6,18,20.5
29,15.7,-- ,28.2,30.1,35,32.6,32.4,33.6,29.5,24.4,18.2,18.9
30,18.6,-- ,29.6,29.6,27.3,32.7,33.3,32.7,29.3,23.5,20.7,15.1
31,20.2,-- ,28.6,-- ,30.9,-- ,33.1,31.6,-- ,23.5,-- ,12.6
