日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,12.7,16.8,18.5,25.4,28.8,28.7,31.4,34.7,31.2,25.5,23.9,19.6
2,15.2,16,14.5,25.2,26,25.6,32.8,31.9,31,24.9,27.5,17
3,14.8,19.7,14.8,24,25.5,25.2,33.6,31.1,30.2,23.5,25.4,17.2
4,14.3,19.8,13.9,16.1,21.1,32.1,34.4,32.3,30.5,23.6,28.9,20.9
5,18.1,19.1,22.4,16.4,22.5,34.9,34.9,31.9,29.5,24.2,32.2,19.9
6,16.4,21.3,19.9,19.7,28.6,35,31.2,34.9,29.5,24.4,26.3,23.5
7,13.2,23.8,15.8,23.6,29.6,34.7,34.2,36.6,29.8,26.3,24.7,29.8
8,16.1,25.1,15.5,23.4,32,34.1,36.4,33.4,30.4,26.8,23.3,21.3
9,16.1,21.7,21.3,18.6,32.8,30.8,34,31.7,30.9,26.6,21.9,15.7
10,13,20.9,16.4,26.6,33.1,30.2,31.5,32.8,30.7,28,20.2,15.8
11,12.6,17.3,16.2,21.1,34.6,30.4,32.4,32.3,30.9,29.2,20.3,16.6
12,14.3,13.9,17.2,20.2,29.2,32.4,32.4,33,29.1,27.7,21,18.4
13,15.5,17.3,20.6,26.2,23,31.9,31.3,33.3,29.8,31.7,21.1,19.5
14,18.4,13.4,28.1,26.3,21.3,32.1,32.1,32,29.6,30,22.4,20.4
15,17.1,13.9,18.3,28.5,24,35.5,32.2,33.5,29.7,24.4,23.3,18.7
16,10.8,22.9,14.2,28.1,21.9,31.9,31.9,35.2,31.2,25.5,26.6,16.4
17,13.7,19.3,16.9,19.1,22.6,32.2,31.3,35.4,30.4,25.6,26.2,17.2
18,17.6,15.4,20.5,22.6,28.4,33.1,31.7,34.2,30.3,24.6,26.6,19.1
19,17.8,16,22.7,20.6,27.7,33.2,33.9,35.5,26.3,24,28,18
20,17.5,15.9,25.8,22.7,27.6,33.7,33.9,34.9,25.6,24.2,21.6,18.7
21,15.4,16.2,27.6,27.9,28.2,32.2,33.3,32.1,24.8,24.3,22.6,19.4
22,16.2,19.7,15,26.4,29.1,34.2,34.7,33.7,24.7,24.5,27,17.8
23,17.7,20.2,15,20.2,28.7,34.6,34,33,24.8,25.4,22.1,15.2
24,14.4,19,15.3,29.6,22.5,31,36,32.4,26.4,27.2,20.8,13.6
25,15.1,19.4,16.2,26.2,22.9,31.6,32.2,31.3,29.9,23.7,22.3,15.9
26,15.8,25.4,13.7,28.2,25.9,31.7,32.8,31.9,27.2,22.7,24.1,16.5
27,17,23.3,13.7,34.3,25.9,32.1,33.4,31.6,28.4,24,24.5,18.1
28,17.2,18.4,17.1,25.2,22.5,34,33.4,30.7,31,25.3,24.7,20.8
29,13.9,-- ,20.6,27.7,24.4,30.8,35.2,30.3,31.3,24.2,23.8,18.2
30,12.4,-- ,17.5,25,26.5,31.8,33.7,31.6,30.4,23.4,22.8,16.5
31,12.8,-- ,22.2,-- ,28,-- ,34.1,31.5,-- ,23.1,-- ,16
