ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,18.5,19.1,16.5,20.9,25,26.5,32.7,30.7,30.6,26.1,26.3,25
2,21.6,15.6,20.4,25.4,24.2,27.2,35,34.2,29.4,26,26,24.5
3,21.7,19.9,20,21.1,25.3,31.1,33.5,30.1,28.2,29.1,31,26.9
4,19.3,18.3,19.2,18.9,29.6,30.6,30.4,34.2,32.3,25.6,24.2,22.8
5,21.2,21.7,22.9,21.1,30.5,30.5,30.9,32.1,30.5,24.9,28.8,22.5
6,25.2,22.7,25.6,23.4,32.3,30.1,32.9,34.6,28.2,24.8,21.6,21.8
7,25.4,18.1,20.3,21.8,32,33.1,32.6,33.3,29.7,26.3,21.8,21.3
8,20.7,15.9,14.3,22.7,26.3,30.7,33.3,33.2,29.5,26.8,23.3,24.2
9,22.3,18,17.3,22.9,23.4,29.9,32.6,33.2,29.3,25.2,22.6,24.7
10,16.4,18.2,19.7,22.7,22.9,32.6,33.1,32.4,29.2,25.8,22,26.5
11,18.8,21.6,16.4,21.1,23.2,33,31.4,32.7,29.5,25.7,21.3,22.1
12,21.4,21.6,18.9,18.1,24.2,33.4,33.2,31.5,27.6,26.4,22,23
13,19.4,17.1,21.4,24.6,24.7,36.3,33.5,31.6,28.7,25.3,23.1,20.4
14,16.2,13.9,24.3,24.6,24.2,29.8,31.9,31.4,31.1,26.1,21.3,15.2
15,13.7,19.4,23.3,23.3,25.6,28.6,32.9,31.3,28.4,24.6,18.3,19.5
16,15.7,18.3,21.9,25.4,27.1,30.8,34.5,33.8,27.2,24.6,19.3,25.4
17,20.1,22.6,24.4,23.1,29,31.7,31.3,30.7,27.9,24,19.5,21.9
18,24.8,21,19.8,24.4,28.1,34,31.4,30.7,28.1,24.3,19,18.7
19,25.6,23.9,24.4,26.7,26.4,31.4,31.7,31.4,30.2,24.5,19.6,18.3
20,25.4,24.7,22.5,27.4,28,32.5,35.4,32.1,32.6,25.5,19.8,19.1
21,21.8,23.2,19.5,26.1,32.5,31.2,32.4,31.3,28.3,24.8,21.1,18.7
22,24.2,27.4,28.3,21.9,26.7,34.1,32.1,34.1,27.5,24.5,21.9,13.5
23,20.1,24.7,26.4,26.6,26.8,30.6,31,33.5,26.9,25,22.4,14
24,24.1,19.4,29.1,24.5,29.1,32.2,34.5,34.3,26.7,25.4,21.6,16.6
25,20.1,15.7,25.9,19.7,32,32.2,32.7,35,26.5,25.8,22.7,15.9
26,18.3,20.9,19.8,21.9,30.7,32.7,32.8,32,26.3,26.8,21.6,16.3
27,14.8,26.4,21.2,31,29,34.9,31.8,32.9,27.4,28.1,23.4,18.4
28,15.1,20.6,20.1,28.4,25.2,32.9,33.9,31.9,27.5,24.2,26.4,16.5
29,15.6,-- ,17.8,33.2,25.9,34.9,32.8,31.3,28.5,24,23.9,16.3
30,19.1,-- ,25.3,28.1,29.1,32.8,30.3,31.7,27.4,22.7,24,17.6
31,21.6,-- ,22.1,-- ,24.1,-- ,31.6,30.8,-- ,27.2,-- ,21.9
