ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,16.4,16,15.6,27.6,27.2,32.2,36,31.8,28.8,32.9,23.3,21.6
2,15.6,17.9,16,27.3,30.8,32.8,36.6,32.6,31.2,27.2,22.5,22.9
3,21,16.8,26.4,28.3,32.6,35.1,33.2,33.2,31.7,32.5,23.6,19.6
4,20.1,16.8,14.9,29.2,22.6,29.6,32.1,32.1,30.5,32.6,28.1,18.6
5,20.3,13.5,16.7,30.3,21.4,35.9,33.7,32.2,33.9,31.9,31.2,23.2
6,22.9,13.3,16.3,29.9,28,27.8,35.7,31,36.8,28.2,31.7,19.2
7,17,20.2,16.6,19.7,24.6,29.9,35,29.4,27.7,27.4,31.1,20.9
8,14.8,15.9,20.6,16,31.2,33.6,35.2,28.9,29.1,28.6,28,20.4
9,16.8,13.1,21.1,18.1,32.2,35.1,31,30.6,28.6,24.4,27.2,22.7
10,17.6,14.7,15.8,17.4,26.1,32.2,28.3,31.4,28.8,25.6,21.9,23.9
11,18.1,18.7,13.8,17.8,31.1,35.3,32.5,31.1,27.9,24.9,22.6,20
12,18.2,18.7,14.8,18.3,26.5,32.5,34.7,33.2,27.8,24.7,25.4,19.1
13,21.4,21.9,22.7,20.7,29.6,32.9,34.6,32.6,28.4,24.6,30.2,21.1
14,17.3,24,20.9,23.5,30.6,31.9,31.4,31.2,27.6,24.6,23.2,21
15,17.2,25.4,23.8,26.5,32.3,33.3,30.8,34.4,28.2,25.9,24.5,17.7
16,18.1,21.8,23.4,27.8,33.1,34.8,33.3,32.1,27.5,25.5,30.6,16.8
17,16.3,20.1,23.1,27.2,31.4,34.9,31.3,33.6,27.8,25.6,27.5,14.2
18,17.8,18.1,26.6,28,33.6,35.5,34.6,30.7,27.8,24,32.3,17.9
19,16.5,16.7,29.6,32.2,33.7,35.6,32.4,31.8,27.8,26,25.1,19.8
20,19.1,25.4,25.4,31.1,27.4,32.1,31.2,33.8,28.2,27.9,24.7,24
21,19.2,26.2,20,18.7,23,31,33.5,32.1,28.5,24.9,25.6,20.9
22,16.3,20.2,20.2,20.2,26,32.3,31.2,31.2,29.6,25.1,26.7,28.3
23,19,20.2,20.1,24.9,26.1,32.9,31.2,28.1,31.6,25.4,23.8,24
24,22.8,20.2,17.8,23.3,25.9,31.8,31.7,33.3,29.3,24.7,23,26.5
25,21.9,23.3,17.5,22.4,24.1,35.3,33.4,29.2,28.2,25.3,22.5,19.5
26,19.4,22.7,20,27.4,24.2,36.3,35.4,29.2,27.3,28.4,17.2,18.7
27,18.3,19,18.2,30.1,31.1,35.9,35.3,26.3,26.2,29.9,18.5,18.5
28,15.6,17.9,19.1,28.5,35.1,36.5,35.8,29.6,27.7,24.4,22.1,17.6
29,19.1,-- ,25.2,29,34.8,35.9,34,27.3,32.5,29.8,26.7,18.1
30,18.1,-- ,26.2,23.6,36,36.2,32.9,28.7,34.6,25.8,22,16.5
31,15,-- ,28,-- ,31,-- ,34,26.9,-- ,23.2,-- ,17.7
