ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,19.3,15.6,28.2,25.3,28,26.6,32.9,32.7,30.3,28.8,22.8,21.9
2,16.1,14.6,25.3,28,28.6,26.3,30.9,31.7,30.8,29,21,26.3
3,16.2,16.5,19.8,28.7,31.8,27.2,29.3,32.3,30.6,30.7,21.7,27.4
4,18.7,22.1,25.6,25.4,31.5,26.8,33.5,30.1,31.5,30.5,19.7,25.8
5,19.1,18,25.5,29.7,31.2,28.2,35.6,30.8,30,32.1,24.4,26
6,20.2,16.7,15.9,31.2,31.2,27.5,31.9,31.4,28.4,29.2,24.7,24.3
7,19.6,18,19,29,31.5,28,33.8,31.7,27.8,24.7,29.3,27.6
8,16.4,21.8,23.4,28,26.2,30.2,29.9,31,34,23.8,24,18.5
9,19.6,18.3,23.4,23,28.3,28.7,29,31,32.2,25,21,14.1
10,22,16.4,26.1,21.8,28,33.5,27.8,31.1,31.2,24.6,26.4,16
11,22.2,16.2,24.7,20.2,27.1,33.8,30.2,33.1,34,27.1,28.4,21.3
12,22.5,20.2,25,19.3,25,29.6,35,33.3,33.2,30.3,28.3,17.6
13,24,21.3,27.2,26.6,26.3,31.2,33.7,33.2,32.7,30.2,28.3,18.8
14,27.2,23.4,27,28.6,30.3,30.3,34.5,33.6,32.6,30.6,28.6,21.3
15,23.7,17.3,23.7,27.9,32.7,30,34.6,33.7,32.1,30.6,23.5,26
16,28.6,19.1,21.3,31.5,28.3,30.7,34.8,34,31.2,30.2,20.2,23.1
17,17.9,26.5,20.1,28.7,25.2,29.9,35.7,33.9,30,31.2,21.3,23.5
18,18.5,20.2,20.7,20,26,30.6,28.8,33.6,29.2,28.8,21.2,23.5
19,15.7,18.8,24.4,22.4,27,32.6,31.3,34.4,28.1,25.7,22.9,21.4
20,15.6,19.8,24.7,28.2,25.6,32.3,32.7,31.8,28.3,26.3,22.8,21.6
21,13.4,25.6,30.9,30.5,30.6,33.7,34,32.2,27.5,24.7,21.6,20.8
22,13.7,20.7,29,27.6,33.8,33.2,31.7,30.7,28.1,23.1,23.4,20.7
23,15,20.4,19.7,28.4,27.4,35.4,30.8,33.2,25.7,21.9,22,20.3
24,17.4,18,21.4,28.4,25.1,35.9,32.3,35.7,27.5,21.9,20.8,20.5
25,19.6,21.8,21.2,19.9,26.8,35.2,35.7,31.3,28,24.7,18.3,18.7
26,16.4,21,24.7,20.1,27.4,32,34.8,32.8,25.6,24.3,19.3,14
27,14,22.7,23.5,21.6,30,32.1,36.1,32.5,27.2,21.9,19.3,14.3
28,13.9,25.1,27.1,22.3,32.1,34.4,34,31.9,27.1,25.3,20.2,15.7
29,14.4,-- ,23.6,28,32.5,33.9,32.7,35.4,27.9,28.3,21.4,17.9
30,15.2,-- ,18.3,28.1,33.6,31.1,32,33.5,25.3,27.7,22.2,19.8
31,16.4,-- ,23.4,-- ,28.8,-- ,33,34.9,-- ,25.8,-- ,17.8
