ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,19.7,22.9,21.2,19.5,22.9,29,32.3,30,30.5,29.2,26.2,18.6
2,20.6,19.6,17.7,22.2,28.7,34,32.1,30.9,29.7,27.3,29.6,18.5
3,17.1,17.7,17.5,25.3,31.9,31.4,31.5,30.2,29,27.3,26.5,19
4,18.1,17.5,19.1,26.7,27.8,30.2,36.3,32.8,29.6,27,29.7,20.4
5,20,19.8,19.4,27.1,31.2,31.2,36.1,33,32.7,30.1,30.1,20.4
6,18.6,19.4,20.5,24.2,30.1,32.1,36.6,37.4,28.7,26.8,31.5,19.4
7,19,19.5,24.1,21.8,27.4,30.1,37.3,36.7,29,30.7,23.4,21.5
8,22.8,19.4,21.4,18.6,21,33.1,36.2,33.3,28.9,25.6,28.3,26.1
9,21.6,21,20.7,22.3,21.5,29.4,32.8,35.8,28.7,25.1,30.1,24
10,19.5,17.8,22.8,26.4,22.9,29.4,33.2,31.8,29.1,25.4,27.9,25.3
11,21.4,21.9,26.1,26.6,25.8,29.2,33.2,30.5,29.3,25.9,22.6,28
12,22.4,27.6,23.4,24.8,27,27.5,33.8,30.9,30.1,26.4,21.9,23.7
13,23.4,27.2,15.8,28.8,22.7,28.6,34,31.8,30.2,26.3,19.7,21.8
14,26.2,13.7,20.7,26.7,24,28.3,34.7,35.5,30.3,24.8,19.9,27.5
15,18.7,13.8,19.8,24.7,27.8,25.2,35,37.2,32.4,25.8,21.6,26.7
16,13.6,17.8,21.7,26.4,30,29.4,33.1,30.5,32.3,26.4,25.4,22.9
17,15.1,24.2,20.3,29,31.5,30.2,33.3,31.6,30.4,25.7,18.5,15.7
18,15,24.9,18,31.5,34.3,32.1,32.2,30.9,31.9,28.8,18.8,21
19,17.9,19.4,20.6,31.1,28,33.1,31.8,32.3,33.4,31.1,21.2,19.5
20,17.7,16.2,22.1,23.3,24.6,35.6,34.4,30.3,32.3,28.5,22.1,16.4
21,20.9,16.1,27.9,21.8,29.8,34.9,34.6,31.8,31.7,23.2,23.7,14.1
22,20,17.9,26.1,21.2,33.8,33.9,32.5,32.8,31.1,24.5,24.5,14.6
23,18.8,18.3,29.7,22.6,22.2,31.6,33.4,33.1,32.4,27.2,24,16.2
24,17,18.5,21.6,22.1,26.6,32.7,35.1,31,32.8,28.1,21.8,16.5
25,13.9,15,20.9,20.2,27,32.7,33.6,32.2,29.8,26.9,21.2,16.2
26,19.3,14.7,18.3,19.7,28.8,33.8,30.4,33.1,30,27.5,21.7,21.5
27,16.1,19.1,17.8,24.4,29.8,33.3,30.1,32.8,29.8,24.7,22.3,21.6
28,11.9,23.8,19.2,27.1,30.9,32.8,31.1,33.8,30.5,23.5,23.5,20.4
29,14.7,-- ,22.1,28.8,29.4,33.1,33.3,34,29.5,23.7,25.8,20.4
30,15.9,-- ,19.5,21,27.9,32.2,31.5,32.2,28.8,24.6,21.2,20.3
31,22.2,-- ,19.1,-- ,26.7,-- ,30.4,30.7,-- ,24.7,-- ,20.8
