ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,15.1,22.3,25.4,23.1,20.3,32.9,33.3,33.8,26.1,26.4,24.9,20.2
2,20.1,22.1,14.3,20.6,21.5,30.8,32.1,33,28.1,26.7,29,19.6
3,17.3,24.5,13.7,23.2,23.5,27,34.8,32.4,28.4,25.1,25.8,20.2
4,16.7,25.3,17.2,23,24.3,27.1,35,35.4,28.2,25.7,22.8,21
5,17.3,22.5,22.4,24.5,25.4,27.1,31.9,35.9,28.4,25.7,22.6,21.4
6,18.9,20.6,23.7,22.8,28.6,30.7,33.5,34,30,27.3,25,20
7,18.1,20.2,25.5,17,28.6,32.7,33.2,32.4,29.2,30.4,23.9,20.9
8,17.4,14.7,25.1,24.4,27.8,35.7,35.1,35.3,29.4,28.7,26.7,24.3
9,15.5,15.1,25.2,21.1,28.2,33.8,34.3,33.7,29.8,26.1,27.9,23.8
10,15.4,16.8,26,19.7,30.4,26.7,31.6,32,32,27.4,28.9,17.3
11,20,17.7,18.1,19.7,25.3,26.5,31.1,33.6,31.7,26.7,23.7,17.4
12,18.9,17.7,23.2,17.9,22.7,27,30.9,33.9,33,25.9,20.8,19.1
13,18.9,18.9,28.2,20.7,26.6,30.5,31.4,34,33.2,26.7,20.8,19.2
14,15.6,23.1,16.8,19.2,27.6,31.2,35,33.3,31.4,27.9,24,20.8
15,21.4,17.4,17.8,27.4,29.6,31.4,33.3,29.1,29.7,27.1,22.1,20.2
16,20.3,18,26.3,25.8,29.6,30.7,33.3,32.3,28.9,23.6,20.6,21.5
17,16.6,26.4,24.5,29.9,29.4,32.2,33.1,31.5,28.3,24.3,21.5,17.5
18,14.6,24.3,28.9,28.7,27.6,32.5,30.4,34.4,28.2,25.8,19.4,15.9
19,20.4,19.2,27.7,22.2,32.3,30.9,31.8,35.1,28.5,26,20,14.8
20,20.4,16.1,27.6,24.3,29.7,31.2,30.8,30.6,28,26.1,22.2,15.2
21,22.5,18.4,20.2,17.8,25.6,35,33,29.4,29.1,24.3,21.9,14.6
22,19.6,17.8,27.8,22.1,26,33.6,33.4,33.1,29.4,24.1,20.6,16.2
23,17.3,17.9,26.2,28.9,28.4,32.8,32.1,32.3,30.9,23.4,26,15.8
24,21.7,21.1,27,27.2,26.1,34.5,32.8,31.9,29.6,22.9,27.6,16.2
25,17.5,22.3,17.9,22.6,28.5,33.1,32.2,32.6,28.5,21.6,20.3,16.9
26,17.6,24.2,24.5,23.7,30.1,35.3,31.8,32.4,26.3,21.4,20.6,16.8
27,16.3,20.7,18.6,22.5,31.9,36.2,33.2,33.7,26.1,22.9,24.9,13
28,16.6,22.8,19.5,24.1,33.9,36.1,33.7,32.2,26.3,24.5,15.6,14.7
29,20.6,-- ,19.4,26,31.4,31.5,34.9,28.1,29.6,25.5,15.1,13.5
30,20,-- ,18.5,28.9,31.8,30.9,35.3,31.8,26.4,26.5,20.9,15.5
31,25.7,-- ,20.6,-- ,32.3,-- ,35.2,29,-- ,25.1,-- ,18.5
