日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,11.5,12.4,15.5,23.7,37.2,30.9,32,33.8,29.4,28.7,25.3,24.1
2,14.7,11.8,18.9,18.3,32.7,32,34.1,34.1,33.4,29.8,28.1,22.7
3,20.6,15.8,17,21.1,25.1,28,34.2,31.9,30.2,32.9,28.7,22.6
4,16.7,15.9,14.9,19.6,30.3,28.3,35.3,29.1,29.7,32.7,30.5,19.6
5,16.6,19.7,14.1,25.3,30,28.2,35.9,27.9,30.4,32.4,28.7,14.7
6,17.6,19,14.7,26.5,28,27,32.4,33.6,29.3,29,31.3,14.7
7,17.6,23.4,21.9,29.1,23.2,28.9,32.1,32.6,30.1,30.3,26.9,15.5
8,16.7,18.4,21,27.2,30.9,28.7,32.3,34.4,28.2,25.4,27.1,16.8
9,15.3,20.5,23,29.5,27.2,33.2,32.8,32.6,27.9,25.1,29.9,23.4
10,15.3,17.1,24.9,29.3,22.9,31.4,34.3,33.1,27,26.7,26.6,21.3
11,17.6,15.3,27.2,20.6,27.4,32.1,36.1,33.8,32.5,27.4,30.3,19.5
12,17.1,16,13.7,20.5,24.6,29.4,35.3,30.9,31.5,25.7,26.7,14.7
13,15.9,16.6,11.3,18.5,29.5,28.9,33.6,31.4,34.4,27.1,30,14.5
14,15.7,24.6,17.4,21.3,24.9,30.9,33.2,32.5,31.6,25.8,25,14.2
15,13.1,21.7,20.9,24.4,25.6,29.7,35.5,32.2,33.1,26,21.8,13.4
16,12,26.1,22.9,25.4,31.2,27.2,31.2,31.1,33.2,25.4,21.3,15.1
17,15.5,18.2,28.6,26.1,34.5,30,29.4,33.4,33.4,25.4,20.7,15.5
18,18.3,16.3,17.6,26.5,34.1,31.5,27.7,32,33.5,25.3,20.8,15.2
19,16.2,12.3,17.2,27.5,24.9,31.7,28.3,33.6,33.4,25.1,21.1,17.3
20,15.6,10.8,21.9,24.3,23.2,34.8,32.5,30.9,33.2,25.2,21.1,20.8
21,17.3,13.3,27.5,27.5,28.6,33.4,31,31,30.5,24.9,19.9,15.4
22,23.1,16,24.3,27.5,34.3,31.9,32.6,31,28.1,23.5,19.9,12.6
23,17.2,21.2,19.9,25.9,31.8,31.2,30.1,32.6,30.1,22.2,20,19.9
24,24.4,27.2,19.3,23.2,28.2,30.8,29.7,34.8,30,21.3,20.9,20.9
25,25.5,17.3,17.1,23.5,24.4,31.5,30.3,31,28,22.6,21.9,22.6
26,17,15.5,21,23,25.5,32.3,30.9,33.5,27.8,23.9,23.6,17.7
27,19.7,16.7,21.5,27.4,31.2,31.5,30.9,32.5,28.1,27.7,23.3,17.8
28,17,15.2,22.4,28.4,26.6,31,33.4,31.5,28.8,30.6,26.6,20.9
29,16.7,-- ,18.8,29.9,25.3,31.6,34,31.9,28.5,24.9,21.9,23
30,16.7,-- ,17,34.7,30.5,34.1,31.8,31,28,22,20.9,23.3
31,12.4,-- ,18.5,-- ,32.3,-- ,32.6,29,-- ,22.3,-- ,20.5
