日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,14.9,23.2,21.6,28.2,29.5,29,35.8,29.3,34.7,29.4,23.9,17.5
2,15.9,18.8,20.8,26.1,27.2,33,33,31,31.9,28.5,23.9,18.2
3,19.4,21.4,17.4,24.2,26.4,34.3,33.5,30.2,32.4,31.5,23.7,18.3
4,19.3,22.6,19.8,21.1,28.7,31.7,33.2,30.3,31.4,32.2,23.9,19.4
5,18.3,25.8,22,17.7,25.5,26.1,34.5,31.1,33.3,31.4,27.1,19.7
6,16,21.8,21.3,19.8,23.9,24.3,34.2,28.1,32.4,30,28.3,21.3
7,14.4,23.5,17.4,20.7,29.7,27.1,31.4,27,33.7,32.1,26.5,20.2
8,9.5,21.3,17.8,22.8,30.3,32.2,33,33.1,34.8,31.1,24,22.1
9,11.6,18.2,20.8,17.9,27.8,31.3,35.5,30.5,34.7,30.4,18.1,22.6
10,14.5,21,19.7,18.6,30.3,32.9,31.8,31.6,33.8,31.2,19.7,23
11,13.2,21.5,24.8,28.1,30.2,31.9,31.5,32.9,32,27.5,21.8,23.8
12,12.5,20.8,20,25.8,33.5,33.3,32.3,33.6,27.8,30.4,20.7,20.1
13,17.5,21.2,18.7,25.8,31.5,33.8,32.4,31.5,34.3,29.3,18.6,19
14,19.7,20.6,20.4,20.1,30.1,35.4,32.9,31.6,33.9,29.3,21.4,21.7
15,19.3,21.5,27.4,19.6,29.4,34.7,34.2,30.3,31.9,30.4,23.5,25.8
16,20.4,24.8,23.5,20.8,30,35.9,34.5,32.4,32.1,30.2,26.5,24.2
17,15.8,18.2,21.4,22.9,31.6,36.9,30.8,31.1,30.9,23.9,23.8,21.5
18,15,15.4,20.3,21,30.6,36.9,30.8,31.7,30.5,24,21.8,16.9
19,18.2,16.8,23.3,22.9,30.4,37,31.5,31.2,33.8,24.9,24.5,18.4
20,22.5,20.8,23.2,25.6,30.8,36,30.9,33.2,33.1,24.3,23.6,21.4
21,28.1,20.5,18.8,26.6,33.6,34.9,30.6,32.6,33.4,23.5,25.7,20.5
22,22.5,23.7,16,28.5,32.8,29.7,29.4,31.4,32.5,21.1,22.1,18.6
23,20.8,23.8,19.9,24.3,29.9,27.3,29.3,32.1,33.3,21.5,17.3,21
24,18.5,25.5,19.2,24.6,33.1,28.6,30.8,31.4,30,22,18.9,19.9
25,20.3,25,17.8,23.8,27.2,28.8,37.7,32.3,29.2,24,21.1,19.1
26,21.5,22.3,22,25,32.7,32.5,35.8,34.1,28.4,24.2,20.3,15.1
27,18.6,17.6,26.6,27.3,35.4,34.8,35,34.5,29,24.5,21,14.6
28,17.8,18.3,28.9,22.5,34.9,33.3,35.1,33.3,29,24.8,22.9,17.2
29,15.4,-- ,22.3,21.1,25.9,33.8,33.1,34.1,30.1,23.7,24.8,18.5
30,20.5,-- ,27.7,25,26.9,34.8,34,33.5,29.8,23.4,22.8,16.8
31,24,-- ,27,-- ,25.6,-- ,32.3,34.2,-- ,24.4,-- ,16.6
