ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,16.5,19.4,22.9,29.4,32.2,29.3,32.4,33.1,28.9,31.1,28.6,27.4
2,21.2,21.3,26.6,28.2,32.2,30.6,32.5,32.4,32.4,30.1,29.5,28.2
3,23.4,25.4,22.7,26.2,32.2,29.5,33.5,31.9,32.8,31.1,29.7,27.4
4,22.4,26.6,17.4,25.6,32.7,31.8,32.7,28.8,31.7,31.4,31.3,24
5,24,27.9,20,25.3,32.9,29.7,33.2,30.6,31.6,31.7,30.6,20.5
6,25.4,28,20.7,28.6,30.5,29.2,32.1,31.9,31.8,31.6,31.1,20
7,25.7,29,22.8,29.1,28.8,31,32.3,32.3,30.2,30.3,30.6,21.7
8,23.1,28.6,24.6,30.5,32.2,32.2,33.1,32.3,31.3,28.8,30.6,23.5
9,21,28.3,27.1,30.9,31.8,30.2,32.8,31.7,32.1,29,31,26
10,22,28.4,28.2,30.5,25.6,31.5,33.1,31.8,30.8,30.3,31,27.8
11,24.7,23.7,27,31.3,28.4,31.5,33.1,31.7,30,29.7,31,25.6
12,23.5,25.2,23.6,30.7,31.2,27.5,32.6,29.4,31.5,31,26.6,22.2
13,23,25.4,17.7,26.2,31.4,27.3,33.1,29.1,32.4,31.3,30.1,20.7
14,19.6,27.2,20,25.2,31.7,29.1,33.5,29.2,32.2,30.6,30.1,20.1
15,18.2,29.2,25.7,28.3,32.9,28.1,34.1,31.2,32.1,29.7,28.3,19.6
16,20,30.5,27.1,29.1,32.9,27.4,34.3,30.9,31.4,27.9,26.5,20.8
17,20.3,29.4,28.1,30.6,32.7,30.6,30.2,28.9,29,28.7,26.6,21.5
18,22.5,29.8,23.2,30.9,32.5,31.3,28.4,28.7,30.1,28.9,25,19.6
19,24.4,20.8,21.8,32.1,32.5,31.5,28.8,30.2,32.1,28.9,25.5,23.1
20,24.1,17,28.3,30.5,31.6,31.5,28.3,30.7,31.5,29.8,23.4,24.8
21,23.3,21.9,27.1,30.7,32,31.9,29.4,30.8,31.4,31,22.1,22.8
22,26.7,25.2,30.3,31.9,31.9,32.1,33,31.5,27.6,28.2,24.5,19.4
23,24.5,26.5,28.8,31.3,32.3,32.4,32.3,31.3,28.8,28.3,28.4,21.1
24,26.1,26.4,22,31.1,31.4,31.4,31.5,30.9,30.7,29.1,26.8,23.1
25,26.5,25.9,21,31.3,32,31.1,31.5,32.1,30.6,29.6,27.1,26
26,25.8,26.1,26,29.9,31.3,32.5,32.1,32.4,30.6,30.5,28.4,25.2
27,27.1,25.7,30.5,29.7,31.8,32.1,33,32.3,30.7,30.7,28.6,23.9
28,25.6,23.6,31.9,30.2,31,29.1,31.4,32.9,31.3,31,28.7,22.5
29,25.9,-- ,30.3,31,32.3,29.3,31.6,33.5,31.5,31.9,26.4,24
30,25.6,-- ,24.9,31.4,30.3,31.6,32.2,31.9,31.7,27.6,26.7,24.6
31,23,-- ,26.5,-- ,31.2,-- ,33.2,30.3,-- ,25,-- ,27.4
