ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,24,21.5,28.8,28.4,33.2,35.1,32.6,33.4,33,29.8,25.5,29
2,24.1,24.4,30,29.6,33,34.3,30.1,31.9,32.5,28.8,26.7,29.4
3,25.9,20,31.9,29,32.6,35,31.3,33.4,31.4,30,31.1,30.7
4,26.1,18.8,32.3,29.5,29.6,35.2,29.9,33.6,31.6,30,29.8,30.9
5,25.5,17.4,32,29.8,31.8,35.5,29.6,34.2,32.4,29.6,29.7,27.8
6,23.8,18.7,26.7,29,32.4,35.7,31.6,33,32.1,30.3,30.2,30.5
7,27.1,17.7,28.1,22.5,33,35.1,32.1,33,32.5,30.9,30.4,26.2
8,28.1,19.6,26.7,25.2,30.3,35.5,32.3,34.3,30.7,31.6,30.8,25.6
9,22.9,23.7,19.5,26.7,29.1,34,32.5,33.6,31.2,31.3,30.4,26
10,18.8,28.1,23.7,28,28.1,33.6,31.6,32.4,29.4,30.3,29.1,28.1
11,18.9,21.6,25.2,31.9,28.9,32.5,32.5,32.7,29,29.6,29.7,28.7
12,19.3,20.8,25.9,31.4,30,34.1,28.6,32.6,32.8,28.6,29.5,23.8
13,19.9,21.1,27,32.2,32.9,32.9,31,29.6,32.8,28.7,27.3,25.2
14,22.9,25.6,27.3,31.6,33,28.3,30.5,30.7,32.3,30.9,26.6,25.4
15,25.3,28.9,29.4,29.2,34.3,29.6,31.2,28.8,30,31.6,28.4,25.8
16,25.4,29.9,28.2,27.3,34.4,27.1,31.7,31.5,30.2,31,30,27.9
17,23.9,24.3,27.5,29,33.4,26.5,31.2,31.1,31.4,29.2,28.6,23.1
18,26.6,25.2,28.3,28.3,33.8,31.2,32.8,29.1,32.1,29,30.8,22.9
19,27.2,29.3,29.4,29.8,32.6,28.4,33.2,28.6,32.5,28.5,29.5,25
20,26.7,29.5,29.8,28.6,34.4,28.7,32.2,30.2,32.6,29.3,27.3,27.9
21,26.8,28.3,25.8,31.3,34.3,31.5,32.3,31.2,32.4,29.5,30.5,27.4
22,27.6,26,24.1,31.9,34.3,31.2,31.3,29.9,32.7,28.5,26.6,27.6
23,24.7,24.6,25.5,31.9,34,32,32.5,28,32.2,30.7,27.3,26
24,24.4,27.5,25.1,31,34.8,32.9,31.9,28.5,31.7,27.6,28.3,24.1
25,25,28.9,26.8,27.9,33.8,33.2,31.3,28.2,31.4,30.2,26.6,26.9
26,25.1,24.3,26.8,28.2,33.5,33.1,32.7,27.6,31.8,30.3,25.3,27.6
27,23.1,27.3,27.2,30.8,33.7,33.2,32.5,27.8,32.1,27.1,28,25.7
28,28.3,28.7,29.2,29.7,34.2,32.5,32.8,26.9,31.8,26.8,26.3,23.2
29,21.4,-- ,29.3,31.7,34.5,32.3,33.2,27.1,30.8,27.4,25.9,21.2
30,22.7,-- ,28.1,32.9,34.1,31.8,33.1,28.3,28.1,27.5,27.3,22.9
31,25.9,-- ,27.6,-- ,35,-- ,33.2,32.5,-- ,26.6,-- ,23.2
