ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,25.8,25.2,21.8,29.3,31.5,31.3,32.7,30.4,31.8,31.9,26.9,27.2
2,24.2,25.3,18.2,30.6,31.7,29.7,33.1,29.5,32.7,31.7,25.9,26.4
3,24.5,26.4,22.7,32.4,31.3,28.6,32.9,28.7,32.3,31.4,26.1,24.3
4,26.1,22.2,24.7,31.6,29.5,31,32.5,30.6,32.2,30,27.4,26.1
5,24.2,23.8,26.7,30.6,30.3,29.8,33.1,31.4,32.1,29.7,28.9,26
6,20.9,26.4,28.4,31.8,31.1,31.9,32.9,31.7,31.2,29.3,29.1,28.7
7,18.3,25.3,28.4,27.7,32.8,29.8,32.6,32.1,31.8,28.9,27.2,31.1
8,21.2,22.3,29.2,29.2,32.8,31.8,29.8,33,31.9,29.8,29.1,28.5
9,23.7,21.9,28.9,31.4,32.9,30.1,30.5,30.3,31.4,30.3,29.5,27.4
10,23.8,25.1,27.3,31.8,32.7,29.2,32.4,32,28.4,30.8,29.9,25.9
11,23.5,26.7,27.8,31.2,32.8,27.5,32.7,32.5,28.4,31.4,29.6,25.8
12,27.1,22.9,30.2,31.7,32,30.7,31.7,33.4,31.8,30.1,26.5,28.2
13,26.3,25.4,21.6,32.7,33.2,32.2,29.4,32.6,32.4,30.7,27.6,29.1
14,27.8,27.7,23.7,29.4,27.2,31.4,29.1,32,32.5,30.5,29.8,29.7
15,27.4,29.5,26.1,28.8,31.4,31.2,29.2,32.4,31.2,31.1,27.7,26.5
16,27.8,29.7,28.8,25.9,30,31.9,31.6,32.5,30.6,30.4,29.5,23.8
17,27,24.3,28.9,28.2,31.5,32.9,32.5,32.5,32.3,30.8,29.5,20.9
18,27.4,24.8,30.4,29.1,30.1,33.3,32.1,31.4,27.2,30.4,31.1,21.7
19,28.6,28.8,25.6,31.9,31.2,31.4,33,29.8,29.5,31.1,30.6,25.3
20,28.4,27.2,26.2,30,30.3,31.8,33,31.5,28.6,30.2,30,25.4
21,25.9,28.2,29.5,30.1,30.7,29.9,33.2,32.8,27.8,30.8,29.9,22.8
22,20.8,28.3,29.2,31.1,32.3,32.8,33.1,32.3,30.3,31.8,31.4,22.4
23,22.2,25.2,30.1,31.7,32.1,32.7,33.1,31.5,30.1,31.7,30.5,24.4
24,22.9,25,27.5,30.7,32.5,33.4,31.7,31.9,30.4,28.9,28.6,25.4
25,24.4,28,29,31.1,31.7,33.2,28,33,30.2,28.9,29.7,25.8
26,24.7,26.1,30.7,30.9,31.7,32.9,28.8,31.9,29.6,29.2,30.1,25
27,22.5,24.8,28.7,31.6,31.5,32.4,29,33.2,30,30,30.8,24.8
28,22.9,26.1,24.8,28.6,31.6,32.9,30.9,32.4,30.7,30,28.4,23.6
29,25.2,-- ,25.5,30.4,29.2,31.7,31.6,32.5,30.8,30.6,28.5,21.5
30,26.6,-- ,26.8,29.6,29.9,32.7,30.2,32.5,31.1,28.6,27.8,21.4
31,27.1,-- ,27.3,-- ,31.5,-- ,31.7,32.4,-- ,27.3,-- ,23.3
