ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,26.4,23.8,26.5,29.9,31.8,32.6,32.6,34,32.1,29.9,30.6,25.3
2,26.4,21.9,28.7,30.2,32.3,32.6,32.8,32.6,32,31.1,26.3,26.2
3,26.2,22.8,30.5,23.1,32.5,33.3,32.7,34,32.5,32,26.7,25.1
4,25.9,24.8,29.6,21.8,32,32.9,32.8,33.3,31.6,32.6,26.6,24.2
5,26.1,25.9,25.8,24.8,31.7,31.8,33,33.7,29.5,30.1,26.3,23.9
6,24,26.3,21.3,26.2,28.5,32.3,32.8,33.7,31.9,28.9,25.3,26.3
7,19.9,27,20.8,26.7,30.4,30.9,33.5,33.7,31,29.9,27.9,25.5
8,22.2,27,25.5,26.6,29.9,31.8,33.4,31.2,32.6,29.3,28.2,24.2
9,22,27.1,28.4,25.7,31.3,31,33.3,28.6,31.6,32.1,28.4,25.7
10,22.1,27.7,29.1,29.1,32.5,31.6,31.7,28.5,31.2,29,26.9,26.7
11,25.3,25.4,25,25.2,30.2,30.7,33.1,30.1,31.7,27.1,25.7,27.1
12,27.5,26.9,26.9,28,31.7,30.9,33.3,31.9,31.3,29.3,25.8,27.9
13,25.6,26.6,27.4,29.4,29.2,31.9,32.9,29.8,32.7,29.9,26.7,28.3
14,25.4,27.3,29.2,31,32.3,32.1,32.5,28,31.3,29.5,27.5,24.3
15,26.3,26.2,29.2,30.1,33.3,31.5,32.6,27.8,31.9,27.9,28.2,26.2
16,27.7,28.3,29.3,30.4,31.4,32.2,32.6,31.1,31.9,27.8,28.9,25.9
17,28.1,29.5,24.6,30.3,30.2,33.2,31.2,32,31,28.7,28.4,27.3
18,22.8,28.4,24.4,28.6,30.9,32.7,32.5,28.6,27.9,28.2,28.7,27.4
19,26.4,27.8,28.3,27.3,31.1,33.5,32.7,30.7,31.6,28.6,26.5,25.9
20,27.6,29,25.2,29.5,27.1,33.1,32.8,28.5,30.4,27,27.4,25.5
21,28.6,28.2,26.9,31.6,29.7,33.1,33,30.2,31.3,27.7,26.3,28.8
22,26.4,27.4,27.2,32.7,30.2,32,33.7,26.6,28.4,28.1,26.4,29.2
23,25.6,24.6,25.8,33,31.1,32.3,33.5,32.1,30,29,26.5,26.9
24,23.1,26.2,29.3,32.3,31.5,33,33.4,32.2,31,29.9,25.9,27.2
25,23.6,27.3,29.1,29.6,32.4,31.5,33.7,31.7,29.5,29.4,27.3,25.7
26,25.6,25.3,29.4,29.9,32.9,31.4,35.1,27.9,31.6,30.1,26.2,25
27,22.2,27.4,30.3,32.5,32,32.2,34.4,32,31.8,27.5,23.6,26.3
28,22.3,27.1,29.2,32,32,32.7,33.6,32.7,31.9,29.7,21.9,26.9
29,20.8,-- ,28.7,30.7,31.6,32.9,31.9,32,32.2,28.4,23.5,25.6
30,23.1,-- ,30.5,33.3,32.4,32.6,32.4,32.1,30.3,28.8,23.9,21.8
31,23.6,-- ,30.1,-- ,33,-- ,32.2,32.3,-- ,29.9,-- ,20.2
