ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,24,27.2,29.8,29.9,28.8,30.5,33.3,32.8,28.5,31.4,25.9,26.9
2,25.2,27.4,29.5,27.6,30.1,28.9,32.5,32.6,27.6,31.7,26.8,26.5
3,24.1,28,31.6,27.1,31,25.7,32.6,32.7,30.7,32.7,25.2,24.5
4,26.1,25.5,30.8,30.3,29.2,29.1,32.6,32.8,30.9,29.4,25.8,25.1
5,24.2,27.3,30.6,29.1,32.3,28.1,32.4,33.1,29.9,28.6,26.4,27.3
6,25.8,27.3,31.2,30.2,31.4,30.6,32.6,32.9,28.1,26.4,27.5,28.7
7,23.5,28.9,29.6,25.4,31.3,30.4,32.8,32.6,29.2,29.2,29,23.3
8,22.2,28.8,28.5,26.6,31.3,30,32.6,32.6,28.3,29.4,27.6,21.7
9,24.3,29.4,24,29,31.2,31.9,32.5,31.8,27.7,30.5,24.5,22.2
10,26.4,30.1,16.9,30.2,32.5,30.9,33.1,32.2,31,31.2,24.8,24.4
11,25.4,30.1,23.3,30.9,29.8,27.5,33.3,32.5,32.6,31.2,26.5,26.2
12,20.5,24.7,24.2,31.9,30.7,28.3,33.4,32.5,31.8,31.6,24.7,26.5
13,19.5,24.6,29.9,31.7,31.5,28.8,32.5,33,32.3,32,24.5,29.5
14,19.9,28.3,32,29.4,33,30.9,33.2,32.6,32.1,33,27.9,28.4
15,22.4,26,30.9,28.5,30.8,31.1,32.8,32.9,32.4,30.4,26.2,25.9
16,23.2,22.1,25.7,26.4,30.2,31.3,32.1,32.6,31.7,29.8,26.5,22.7
17,24.3,24.7,28.6,26.9,31.6,31.5,32.6,32.1,31.8,28.5,27.1,21.3
18,24.3,20.3,28.1,29,33,31.9,32.9,32.1,31.7,28.4,27.1,21.8
19,26.3,19.3,28.8,31.7,31.5,31.8,33.2,32.6,28.4,29,27.8,25.7
20,27,24.3,29.9,31.5,31.7,32.5,33.4,32.1,29.5,31,27.6,26.5
21,28.2,26.2,29.4,32.4,31.8,32,30.9,32.7,30.6,27.8,28.8,25.6
22,24.5,27.7,29.1,31.9,32,32.7,30.6,30.1,32.1,27.6,28.9,23.3
23,23.3,28.1,31.1,29.2,31.5,32.1,32.5,31,31.4,29.6,26.4,23.4
24,26.2,28.8,30.7,24.7,27.5,31.2,30.1,30.4,31.2,29.4,25.8,25.5
25,29.3,29.3,28.6,28.8,32.3,31.6,31.1,32.6,27,30.3,26.8,24.2
26,22.5,28.8,19.9,30.1,29.5,31.8,27.5,32.7,29.8,26.3,24.3,19.4
27,26.2,28.8,25.6,29.3,33,32.5,29.3,32.6,30.1,24.7,25.2,21.4
28,25.7,29.7,25.6,25.5,27.8,32.3,28.9,32.5,31.6,26.2,26.2,23.1
29,26.6,-- ,25,25.1,27.6,33.2,28.6,30.1,31.4,25,27.7,23.4
30,26.3,-- ,26.5,24.8,27.8,34,31.2,30.1,31.4,26.6,27.4,25.4
31,29.1,-- ,28.3,-- ,27.7,-- ,32.5,31.4,-- ,26.5,-- ,20.9
