ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,22.4,23.1,24.5,28,28.9,32.2,32.3,29,31.8,28.7,31.1,20
2,24.6,18.5,22.9,19.7,31,31.7,32.6,31.4,31.5,28.6,29.9,21.6
3,24.6,20.5,24.9,20.1,30.3,31.1,32.7,29.9,30.2,27.3,29.5,26.3
4,22.8,23.4,25.6,22.1,30.9,31,32.1,31.1,32,30.2,29.1,27.6
5,24.5,23.5,25.4,26.4,26.1,31.1,33,31.4,31.5,29.9,29.7,28.5
6,24.8,20.7,25.4,27.3,29.5,32.3,32.7,28.9,29.8,29.6,29.1,20.7
7,25.3,23.9,27.3,28.6,29.4,31.7,33,29.6,31.7,30.9,29,20.8
8,25.9,27,30.3,29,26.7,32.7,32.8,31.4,31.1,30.7,28.7,22.6
9,20.4,23.5,23.5,28.9,25.6,31.9,33.1,30.8,32.1,30.4,25.8,25.7
10,23.9,18.6,23.7,29.4,28.8,31.9,32.9,31.5,31.5,30.4,28.5,26.6
11,25.1,22.1,24.5,25.3,31.3,32.9,33.6,32.1,31.3,29.1,28.6,24.3
12,25.4,25.5,27,25.6,27.3,32.6,33.6,30.7,31.3,27,27.4,25.9
13,27.2,26.7,28.1,25.8,29,33.2,33.8,30.3,31.6,28.7,25.1,26.3
14,25.9,26.5,30.2,28.9,29.1,32.6,34.1,30,32.6,27.6,25.2,24.4
15,27.6,27.6,31,29.7,29.1,32.2,34.3,31,32.1,27.6,26.2,24.7
16,23.4,26.8,30.9,25.4,30.2,32.9,33.9,30.3,33,27.4,27.1,28
17,25.8,27.6,31.6,28.8,28.5,33.1,33.9,31.2,31,28.3,28.9,26.7
18,24.1,22.3,27.7,32.2,27.4,32.9,33.7,31.4,31.9,29.3,24.1,24
19,24.5,20.7,27.4,30.9,28.8,32.3,34.1,31.8,31.7,25.8,24.8,21.8
20,24.9,22.7,29.9,23.6,27.4,32.2,33.1,31.9,32.6,25.4,27.5,23.2
21,26.8,21.5,31.4,20.5,24.1,31.2,32.1,32,31.7,26.6,27.2,24.3
22,26.8,23.7,29.4,19.9,25.6,30.3,32.7,30.7,29.9,28.1,25.5,25.2
23,25,25.7,29.8,26.3,28.4,32,33.4,31.5,30.3,29.1,28.2,22.1
24,24.4,25.7,29.7,27.6,28.4,32.2,32.8,30.9,30.3,30,28.4,24.5
25,26.5,26.5,30,25.9,30.1,33.1,28.5,31.7,30.5,29.7,27.4,23.3
26,22.4,26.7,29.7,28.1,30.2,32.6,27.1,32.4,30.4,27.6,27.5,25.7
27,24.6,23.5,30.4,27.2,29.8,32.1,28.6,31.5,32.1,27.1,29.3,24.4
28,25.4,25.7,29.1,28.1,30.4,31.2,31.4,31.6,30.5,29.8,26.8,24.8
29,23.7,27.4,29.4,28.5,29.9,31.9,32.4,31.5,30.4,30.1,28.6,25.5
30,22.5,-- ,31.2,29.3,32,32.3,31.9,32.5,29.8,29.9,23.2,23.5
31,25.1,-- ,31.3,-- ,32,-- ,28.3,31.9,-- ,30.5,-- ,23.6
