ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,19.5,24.5,26.6,24.7,27.6,31.2,31.9,33.2,33,31.1,30.6,23.4
2,20.8,23.9,26.5,22.3,27.3,30.8,32.1,32.2,33.4,31.7,25.4,25.3
3,22.2,25.5,26.2,24.5,29.6,31.4,31.4,31.8,32.9,29.8,24.2,23.9
4,23.1,25.8,27.2,27.2,30.1,30.9,29.8,32.6,33.5,28.1,26,23.6
5,25.4,26,31,29.9,29.6,29.8,31.5,32.4,33.3,28.1,28.6,24.3
6,26.3,25.7,26.2,26,28.4,31.2,32.4,31.3,32.6,27.2,28.6,23.1
7,25.9,26,21.9,24.5,28.8,31.9,32.3,28.3,33.3,29.1,29.1,25
8,25.3,26,27.1,28.9,28.3,31.2,33.2,27.1,33,28.5,29.3,25.8
9,22.4,27.3,26.7,25.6,29.3,31.1,34.2,29.5,31.5,28,29.4,27
10,19.3,25,24.7,28,31.2,31.3,30.3,30,31,29.1,29.1,28.5
11,21.6,26.2,27.7,29.6,31.9,31.3,31.9,30.8,32,30.8,27.8,28.3
12,20.6,25.6,28,30.7,31.2,31.2,33.1,31.4,33.1,31,28.7,29.4
13,19.6,26.7,29.8,31,31.3,31.3,29.2,32.2,30.8,29.8,28.6,28.8
14,19.4,28.6,23.2,30.3,31.2,31.7,30.8,32.2,32.8,29.7,24,26.7
15,21.2,30,23.5,28.1,31,32.9,32.6,33.4,31.8,29.6,24.7,27.2
16,23.5,27.6,25.6,24.4,33.4,32.9,32.5,32.5,32.5,31.6,29.5,22.4
17,22.8,25.5,28.1,27.9,31.2,33.3,31.3,32.8,32.3,30.9,25.7,24.5
18,24.9,24.3,31.1,28.9,32.6,31.5,31,32.9,32.4,29,24.8,20.9
19,25.9,27,29.5,28.8,32.3,33,32.6,32.7,31.5,29.4,27.1,18.8
20,26.9,28.3,29.5,29.8,33.3,30.2,32.5,32.2,29.4,28.9,26.1,21
21,26.2,24.2,30.7,27.9,32.3,29.7,32.6,32.4,32.8,28.5,25.1,19.5
22,26.8,27.8,29.1,26,32.6,30.8,31.6,33.1,31.5,30.3,27.9,22.4
23,23.3,30.2,29.2,29,32.1,31.1,32.2,31.2,30.6,30,26.8,25.2
24,19.3,31.2,27.4,31.6,32.8,32.8,32.3,33,28.9,28,29.3,26.4
25,21.3,30.4,23.4,30.4,32.6,30.6,32.5,33.8,31.2,29.5,27.6,26.4
26,23.5,29.6,25.4,23.1,33,32.6,32.1,33.5,31.7,27.6,28.2,23
27,24.6,29.4,28.2,22.4,27.9,33.2,32.3,32.4,29.4,28.2,28.5,25.3
28,25.8,28,30.4,25.8,26.9,32.2,33.2,32.4,29,28.5,27.3,23.3
29,25.9,-- ,28.2,26.8,30.1,32.4,34.3,34,29.6,28.6,26,24.9
30,24.1,-- ,26.6,26.9,31.4,32.5,33.7,32.4,28.8,29.5,25.3,26.3
31,23.9,-- ,26.6,-- ,30.9,-- ,34.1,32.6,-- ,28.3,-- ,21.2
