ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,25.6,26.7,29.9,30.2,31.9,33,27.3,32,32.3,32.2,29.9,26.4
2,25.6,27.2,27.7,25,32.5,31.9,27.9,32.7,33.2,29.2,28.6,26.5
3,24.2,22.8,22.4,27.2,33,32.1,28.5,32.6,33.4,28.4,27.7,25
4,25.7,22.1,20.2,26.3,32.6,31.1,29.5,32.1,32.2,28,27.3,25.9
5,28.3,19.9,25.5,26.4,31.8,29.4,31.2,32.2,31.8,29.2,29.2,21.9
6,27.4,19.5,22.3,28.1,31.9,31.8,31.9,32.9,31.9,27.8,29.2,24
7,25.5,18.9,19.7,29.6,33.4,30.6,32.2,33,31.8,30.4,28,25.6
8,24.9,20,23.4,28.3,33,32.1,31.9,33,31.6,29.3,29.1,24.5
9,25.8,21.9,24.8,26.2,32.7,30.3,32.5,32.3,29.2,27.5,29.9,25.1
10,27,22.4,28.5,28.8,33.9,29.9,31.8,33,32.4,28.6,30.3,25.4
11,26.9,25.3,30.3,29,34.5,31.6,31.9,32.9,26.2,28.5,30.7,25.7
12,23.8,26,28.2,29.4,33.9,33.3,32.3,32,29.3,28.6,30.1,27.4
13,19.7,25.4,28.3,29.9,34,31.3,32.5,32.6,30.2,29.5,28.9,24.3
14,23.4,26.4,28.6,30.4,34.8,30.5,33.3,32.7,29.9,28.2,30.1,26.3
15,26,24,26,28,33.6,32.3,30.5,33.9,28.5,27.2,28.7,26.7
16,26.7,24.6,27.5,28.9,34.5,30.9,28.3,32.9,30.8,28.6,26.7,25.8
17,23.5,25.8,29.8,29.7,34.3,30.9,31,33.7,31.6,30.3,26.7,26.9
18,25.1,26.6,26.6,30.4,33.8,31.2,26.3,32.3,32.1,29.4,27.6,26.7
19,22.6,27.4,27.9,31.3,32.3,32,31.8,32.6,31.5,28.9,25.3,25.8
20,24.1,27.5,29.1,34.3,32.6,31.2,31.2,33.9,32.6,27.6,26.4,25.4
21,21.2,26.6,28.8,33,32.5,31.7,31.6,34.1,31.3,28,27.2,25.5
22,18.7,26.7,25.4,31.1,26.8,32.2,32.2,32.9,30.9,29.2,25.8,26.1
23,19.3,22.8,27.2,31.4,29.5,32.8,32.6,32.6,32.3,28.9,26.2,26.5
24,17.6,25.9,28.6,30.8,32.2,32.9,31.9,32.3,32,30.4,27.4,24.9
25,17.7,27.6,28.6,30.7,30.4,32.3,31.9,33.9,33.5,27.8,27.3,25.1
26,22.8,26.3,24.7,31.8,30.9,33.3,27.9,29.4,33.5,27.3,28.8,25.7
27,24.1,26.8,27.9,31.4,32,34.1,28.9,29.5,31.3,26.4,26.2,26.5
28,22.2,27.8,27.5,28,31.7,34.3,32.4,31.2,31.7,26.6,26.6,24.1
29,25.6,29.2,28,28.1,31.9,34.1,31.7,28.2,28.1,29.2,27,22.3
30,25,-- ,28.7,32.4,32.1,30.3,32.6,30.9,31.8,29.6,24.5,23.2
31,21.9,-- ,28.4,-- ,33.8,-- ,32.4,32.7,-- ,29.3,-- ,19.1
