ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,24.6,26.8,26.7,28.2,27.6,33.2,33.5,31.4,33.7,31.5,31.2,26.9
2,25.9,27.2,25.4,28.1,30.9,33.5,33.1,32.6,33.6,32.1,30.9,23.1
3,28.1,26,24.4,28.5,28.2,32.6,33.2,32.6,32.9,31,26.3,25.2
4,24.4,23.6,25.9,24.3,30.2,28.5,35,32.2,34.4,29,27.5,24.3
5,22.4,24.8,22.5,26.3,32,33.1,33.5,33.2,33.5,29.6,28.5,21.5
6,23.1,28.3,24.2,25,28.3,32.9,34.3,32.6,34.5,29.1,29,22.5
7,24.6,27,24.8,25,30.3,31.7,33.5,31.3,32.9,29,27.3,24.4
8,26.7,25.5,25.7,28.6,32.1,31.9,32.6,30.6,33.2,29.9,29.9,25.9
9,22.5,26.7,21.9,29.3,30,31,32.4,30.8,34.1,30.4,27.9,25.9
10,22.8,20.2,22.4,28,32.1,32.5,33.3,31.8,34.1,31.2,28.5,25.9
11,22.1,17.8,23.4,29.5,33,32.3,33.5,29,32.9,31.8,29.1,25.6
12,24.5,22.6,27.8,29.8,32.5,28.1,34.1,27.5,33.4,30.3,28.4,23.8
13,22.7,23.7,27.5,30.4,32.4,28.5,33.6,30.2,34.3,28.9,26.7,21.2
14,23.3,19.9,20.3,27.1,31.6,29.8,33.8,30.7,33.4,28,27,23.1
15,20.4,21.3,22.4,26.3,32.1,30.4,33.8,32,31.6,27.4,26.7,26.9
16,22.5,23.9,25.1,28,32.7,31.4,33.4,32.5,32.5,27.8,26.8,24.5
17,23.3,26.2,28.5,30.7,32.8,31.8,32.4,32.6,32.8,29.5,27.6,19.7
18,21.5,27.1,28.8,29.9,32,32,33.2,29.1,33.2,28.6,26.5,21.3
19,20.9,22.4,29.4,30.8,32.4,32.1,33.4,31.8,31.9,28.8,27.3,22.9
20,23.6,20.5,29.4,30.6,32,33.3,34,32.1,29.6,31.2,28.3,22.8
21,19.4,21.9,20,29.5,31.9,32.6,33.4,31.5,27.6,32,28.3,23.7
22,19.5,24.5,21.9,30.9,32.3,32.8,31.1,32.7,30,31.4,28.9,21.1
23,21.2,23.7,24.4,29.2,32.5,32.3,29.8,33.7,30.9,28.4,29.7,23.2
24,23.3,25.1,26.2,30.3,34.5,32.2,31,33.6,32.1,29.5,29.6,26.8
25,25,26,28.2,31.2,33.8,32.2,31.3,33.4,32.4,29.5,30.7,23.3
26,23.4,28,30.7,30.8,33,32.1,32.7,32.3,32.4,30.7,29,22
27,23.8,27.1,31,30.9,31.2,32.8,33.3,32.6,31.7,30.5,30.8,24.4
28,24.8,24.5,31,28.7,31.7,33.3,33,33.8,31.4,28.1,30.1,25.6
29,25.4,-- ,30.5,27.7,32.6,32.7,33.5,31.5,31.4,31.1,30.1,22.6
30,26.3,-- ,29,27.9,32.5,33.5,33.7,33.3,32.2,29.8,30.2,23.2
31,25.2,-- ,28.8,-- ,33.2,-- ,32.4,33.4,-- ,30.5,-- ,24.4
