ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,26.2,25.3,22.7,28.6,31.6,33,33.5,31.8,33.3,28.8,28.9,27.3
2,26.7,22.7,24,31.4,33.4,32.9,33.9,32.3,29.6,31.9,27.6,26.6
3,28.1,24.9,24.7,30.3,32.2,33.6,34,33.5,31,31.2,27.5,28.4
4,28.5,26.5,27.4,30.2,33.7,33.8,33.6,33.2,32,32.2,29.8,30.1
5,30.3,25,26.7,31.4,33.8,34.7,32.5,32.9,29.2,31.7,29.5,30
6,27.6,21.2,28,32,33.6,33.4,32.7,33.3,31.9,29.5,30.1,25.5
7,25.8,21.5,29,31.9,34.1,34.1,32.8,33.4,30.4,29.1,29.4,26.6
8,25.7,22.2,28.8,32.2,33.7,31.1,29.8,33.6,31.9,27.7,29.1,27.3
9,25.2,23.6,28.8,31.8,33.8,31.5,31.8,32.4,32.1,27,26.3,27.4
10,26.5,25.4,24.8,32.3,32.9,26.8,30.6,34.3,33,27,28.3,26.9
11,28.3,26.8,20.4,28.9,29.6,28.6,31.2,32.3,34.2,31.1,27.3,26.5
12,23.7,28.8,25.2,30.9,31.1,32.1,31.8,29.3,33.7,31.6,29.9,28.3
13,22.2,28.9,26.4,31,32.2,32.3,33,29.1,33.6,30.9,29.9,28.8
14,24.1,29.3,25.2,29.4,32.7,32.5,32.7,30.8,27.8,30.9,30.7,26
15,24.6,20.8,22.6,30.7,33.4,33.3,32.7,27.8,31.9,31.4,29.5,23.1
16,25.4,20.2,28.4,31.5,31.8,32.6,33.3,30,34.1,31.2,29.1,21.4
17,28,23.9,29.2,32.9,30.4,33.3,33.3,31.8,30.8,31.8,29.3,23.3
18,23.8,25.5,29.9,32.6,31.7,33.9,33,32.4,32.4,32.3,30.5,26.8
19,23.4,26.9,30,29.5,31.6,34.2,33.1,32.8,29.1,31.4,30.9,27.7
20,25,24.8,26.7,30.9,33.4,33.7,33.6,33.1,31.7,31,30.8,29.1
21,27.7,22.6,26.9,31.7,29.5,33.5,33.6,34.5,31.1,31.8,31.1,28.8
22,26.6,26.9,28.5,32.5,31.1,34.2,33.6,34.5,31.5,31.9,28.5,28.7
23,22.6,25.3,29.1,33,30.8,34.5,34.2,33.6,31.3,31.2,26.3,24.3
24,15.1,22.7,22.9,33.3,31.2,34,34.7,33.7,31.8,31.3,26.1,24.5
25,16.2,23.7,19.3,31.6,33.4,34.1,35.1,33.1,32.4,32.2,27.3,27.2
26,21.5,24.7,22.4,32.4,33.6,34,34.5,32.8,33.7,32.8,27.9,28.1
27,23.4,26.1,24.5,31.6,34.7,34,34.3,33.3,29.4,33.4,26.1,25.8
28,24.3,26.8,24,29.9,33,34.2,34.8,33.6,30.8,32.6,23.2,20.2
29,28,24.8,25.3,27.4,32.6,33.7,34.7,31.9,32.1,31.5,25,21.9
30,24.9,-- ,29,29.4,33.6,33.6,33.8,32,31.3,28.7,25.4,22.4
31,25.1,-- ,28.3,-- ,33.4,-- ,33.7,32.4,-- ,30.1,-- ,26.5
