ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,23,25.3,29.1,29.7,26.9,32.6,32.9,29,28.6,31.6,30.2,23.3
2,25.1,26.9,24.6,30.3,23.2,32.4,32.1,30.7,30.1,31.6,27.6,23.4
3,24.3,28.1,21.9,26.6,25.1,32.9,33.4,33.4,29.6,30.1,28.2,23.9
4,23.3,28.3,22.2,31.2,28.2,33.3,33.5,33.7,30.4,29.6,28.8,24.7
5,26.8,28.5,23.8,29.9,30.1,33,32.9,33.4,31.3,30.5,28.5,24.9
6,26.7,29.5,26.3,27.4,29.3,34.3,32.5,33,32.1,29.5,29.7,24.6
7,27.3,28.1,27.7,21.9,29.4,33.4,32.9,33,32,31.4,27.7,25.4
8,24.4,24.3,27.6,25.9,29,32.8,32.3,32.9,31.3,31.7,29.3,25.1
9,23.6,24.8,27.6,29.1,30.5,33.2,32.7,34,32.3,32.7,28.1,29
10,23.2,25.1,29.8,26,31.5,33.8,32.9,33.8,32.9,31.6,28.6,23.3
11,23.6,25.5,27.4,26.1,30.9,33.2,33,33.3,32,30.9,29.7,23.4
12,23.9,27.8,29.2,25.7,28.2,32.3,32.1,30.2,29.5,29.8,27,23.4
13,27.7,24.2,30.7,26,29.2,29.6,31.2,29.8,31.8,29.3,28.3,25.1
14,22.5,27.2,25.2,28.3,31.3,31.4,31.4,30.6,32.1,31,28.3,24.5
15,22.6,28.6,26.5,29.2,32.1,31.4,31.5,30.9,32.8,29.8,27.4,27.1
16,24.2,24.7,27.9,29.4,30,32.4,31.8,31.9,30.4,26.6,28.5,28.4
17,23.8,26.1,28.9,29.5,30.3,33.1,29.9,32.3,31.5,28.7,24.9,23.3
18,20.3,28.1,28.6,30.1,28.1,33.7,27.6,33.1,32.6,29.4,23.5,20.6
19,23.2,28.5,31.1,30.9,30.5,32.5,31.1,32.6,33,29,23.9,20.4
20,24.7,24.5,29.8,30.8,31.3,33,31.3,29.8,31.3,29,24.3,21
21,26.1,26.6,28.4,27,31.8,31.7,32.8,31.7,26,28.6,24.6,21.1
22,26.6,27,30.7,25.4,32,29.6,32.2,32.4,28.9,27.5,25.8,22.3
23,25.3,25.2,32.1,30.3,31.6,31.5,33.1,29.8,31.6,29,27.2,23.5
24,23.6,24.1,30.8,30.6,31.2,32.8,32,31.6,31.2,29.1,28.6,21.7
25,22.4,27.2,26.3,31.2,30.7,31.4,32.1,32.4,31.5,25.5,27.1,24
26,24.3,27.4,28.8,26.9,31.2,32.5,31.9,33.2,29.6,26.4,24.1,25.3
27,23.5,30,30.9,27.7,31.9,32.2,32.7,33.5,30.4,26.9,27.3,17.1
28,22.6,28.6,30.2,28.5,32.3,32.3,33.1,27.8,31.4,27.7,22.8,20.8
29,25.2,-- ,30.9,30.6,32.8,32.8,32.6,29,32.2,28.2,20.1,21.2
30,22.2,-- ,29.1,31,32.8,33.4,32.3,30.7,32.2,29,23.1,24.3
31,25.3,-- ,30.2,-- ,32.7,-- ,32.3,28.1,-- ,28.6,-- ,25.1
