ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,22.4,26.1,27.8,27.2,28.9,32.5,32.2,32.1,31.3,33.1,29.1,26.1
2,22.9,26.3,23.3,30.3,30.9,32.6,32.6,30.9,30.9,32.8,30.2,25.8
3,24.4,26.1,23.6,27.5,30.6,33,32.6,30.4,28.4,31.7,30.4,26.5
4,24.6,24.3,25.1,27.8,31.7,32.9,33,31.2,29,28.9,31.2,29.2
5,25.1,25.5,23.5,29.9,32.5,31.9,33.3,31.8,30.4,27.5,30.7,27.2
6,24.9,29.3,24.5,29.4,32.5,32.5,32.8,31.8,30.8,26.9,30.5,28.2
7,23.8,29.1,25.5,28.1,32.5,32.2,32.9,29.6,30.5,30.8,28.5,24.7
8,23.7,27.5,26.2,24.4,26.5,31.5,32.9,29.6,29.7,28.4,29.4,26.9
9,26.2,27.4,26.3,24.8,24.2,32.3,33.1,30.7,28.2,31.5,29.7,29.1
10,24.7,29,26.7,27.2,26.7,33.1,33.3,29.4,29.5,31,31.9,28.2
11,25.4,29,26.5,29.7,30,33.5,33.3,30,30,29.7,28.7,29.8
12,26.8,28.6,26.8,30.5,31,28.7,33.4,31.8,31.8,30.6,29.3,29.8
13,27.2,30.3,23.6,29.6,29.6,27.4,33.4,32.6,31.5,31.1,26.6,27
14,28.9,24.2,26.8,31.7,28,31.1,33.4,31.9,33.1,30.5,26.6,28.2
15,25.4,21.5,27.2,30,23.5,27.2,32.5,30.7,32.4,28.5,27.1,29.2
16,22.7,22.3,28.3,29.8,27.5,29.3,29.5,30.3,32.5,29.1,27.8,27.5
17,23.7,26.4,28,30.3,33.3,30.9,33.1,27.6,31,27.8,23.6,22.6
18,24.1,25.5,27.7,30.1,30.4,32.3,31.3,27.2,33.2,29,23.6,26.1
19,24.5,25.3,26.7,30,31.5,32.2,29.5,30.9,32.7,29.4,25.1,27.7
20,23.9,22.4,29.3,30.2,32.7,32.4,32.6,32.5,33,30.3,26.9,22.8
21,25.6,23.1,28.1,28.6,32.1,32.4,32.9,32.7,32.5,28.9,27.4,21.3
22,26.7,24.9,28.5,29.9,31.8,32.2,33.1,32.7,33.2,29.6,27.9,19.1
23,26.4,24.8,28.9,29.1,28.1,32.6,32.9,32.8,32.1,29.3,28.1,20.1
24,21.7,27,31.4,27.6,30.2,32.3,33.6,32.4,33.2,31.1,27.2,23.7
25,18.2,23.7,31.5,27.1,30.4,31.5,33.7,33.8,33.6,31.3,26.4,22.4
26,23.9,20.6,28.6,27.6,30.1,31.8,29.9,33.6,33.6,30.7,26.9,22.9
27,24.1,22.6,27.2,28.1,29.4,31.4,28,33.5,32.8,30.5,28.2,26.2
28,18.6,26.6,28,31.9,32.9,31.7,28.3,33.4,33.1,28.3,25.3,27.2
29,20.5,-- ,28.5,31.3,31.1,30.2,31.3,32.3,33.1,29.3,27.7,26.7
30,22.1,-- ,29.5,32,32.3,31.9,31.9,28.8,33.3,29.7,28.4,27.4
31,22.9,-- ,29,-- ,33.1,-- ,31.8,30.8,-- ,29.5,-- ,28.6
