ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,19.2,24.9,22.1,25,30.2,30.9,32.3,31.8,31.3,28.6,30.6,25.5
2,19.8,25.3,25.6,28,27.3,31,32.3,33.1,32.1,30.1,30.7,25
3,22.6,22.1,25.2,27,31.6,26.3,32.9,32.5,31.8,30.6,31,26.8
4,23.6,23.8,23.3,30.3,31,30.2,33.3,28,31.5,31.7,30.4,27.9
5,25.6,25.4,22.2,30.6,32.7,27,32.9,29.8,32.4,32,31.5,23.6
6,26,24.2,23.7,30.7,30.8,30.8,32.3,27.8,32.2,31.6,31,20.3
7,26.7,23.2,24.8,32.3,30.4,33.2,32,29.8,31.8,31.3,30.7,23
8,27.5,22.8,24.2,30.3,31.6,32.1,31.4,29.7,32.4,29.4,29,25.7
9,25.5,20.7,26.8,32,31.8,32.5,31.3,30.6,31.8,30.9,25,24.3
10,26.6,22.2,27.3,31.6,29.7,32,31.1,31.5,32.6,31.2,24.3,26.1
11,27,23.4,27.9,26.7,25.4,31.8,31.4,29.8,31,28.5,26.2,27.3
12,28.6,20.2,27.7,29.9,28.3,32.2,30.7,31.3,30.7,27.6,27.1,26.7
13,23.8,18.5,28.4,31.4,30.2,32.2,31.4,32,28.8,29.7,27.9,27.6
14,21.2,20.4,27.3,29.9,28.9,30,32.5,32.3,29.8,30.1,28.8,23.3
15,21.7,21.6,26.3,30.2,30.2,26.2,32.5,31.9,31.3,29.9,29.3,23.2
16,21.2,23.2,27.9,31.8,30.9,26.7,31.3,31.9,31.4,29.3,26.4,23.9
17,21,24.2,29.9,30.5,30.2,31.6,28.2,32,31.1,31.4,26.7,25
18,22.9,23.1,30.6,26.3,30.6,32,27.5,32.6,33.1,29.8,27,24.4
19,24.6,25.4,28.4,30,31.5,33.1,31.2,33.8,32.8,30.3,24.5,25.7
20,26.9,24.5,25.1,30.4,25.7,32.1,31.2,30.6,32.7,30.4,23.2,25.2
21,26.9,24.8,26,32.2,28.5,32.5,32.1,32.1,32.3,30.5,26.5,26.8
22,25.3,27.1,28.3,30.1,31.6,32.8,32.1,31.7,29.7,30.1,25.8,23.5
23,25.9,24.6,27.3,28.3,31.9,32.5,31.6,31.5,30.6,29.9,27.8,23.1
24,22.3,21.7,24,23.8,32.2,32.5,32.2,31.7,31.8,29.9,26.4,26.2
25,22.1,23.4,25.8,25.6,31.7,32.2,32.3,31.7,31.4,31,23.3,27.4
26,24.8,28,22.7,28.9,33,31.5,32,31.3,31,31.6,26,24.1
27,25.1,20.8,27.3,28.7,33.1,32.1,31.4,31.8,31.5,30.5,24.7,24.1
28,26.5,23,27.1,28.3,31.7,30.4,28,32.3,27.3,29.5,21.9,25.6
29,27.2,23.8,30.1,31.3,31.5,32.4,29.5,31.7,27.4,31.2,23.3,26.5
30,28,-- ,29,32,32,32.2,30.5,31.3,30.6,30.4,24.1,25
31,23.2,-- ,25.1,-- ,30.5,-- ,30.6,31.3,-- ,32,-- ,21.6
