ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,26.3,23.8,26.6,21.2,30.8,30.5,33.5,32.8,29,32.2,28.9,25.8
2,28.1,23.3,24.7,24.7,32.3,31.9,33.3,29.2,30.4,33.9,29.7,28.2
3,27.5,25.9,24.7,25,32.8,31.3,33.7,32.6,32.1,33.7,30.2,28.2
4,27,25.2,27.2,26.5,33.2,30.8,33.7,32.8,32.9,32.4,27.3,26.9
5,27.9,27.9,28.5,28.9,33.8,32.9,32.3,32.5,33.4,31.9,26.8,24.7
6,27.8,24.4,28.6,29.6,33.3,34.1,31.7,33,31,33.2,28.4,23.9
7,28.4,25.2,23.7,29.3,33,34.3,33.2,34,32.4,32.2,31.7,26.6
8,28.6,26.5,22.8,31,34,34,33.6,33.6,32.2,29.8,29.7,22.6
9,25.3,22.2,26.8,31.8,33.4,34.6,33.2,32.7,34,30.6,28.3,21.9
10,25,18.9,28.8,31.4,34.1,34.5,33.9,33.5,34.1,32.5,27.8,24.9
11,26.2,18.4,28.1,31.2,33.8,34.5,34.2,33.8,34.1,32.4,28.2,24.1
12,26.2,21.5,27.9,27.6,34.2,33.7,34.4,33.5,34.5,32.4,27.9,23.1
13,26.6,23,30.1,24,32.4,34.6,34.5,33.4,34.5,29.4,30.2,25.5
14,22.9,22.9,24.2,30.3,33,33.4,33.2,33.5,32.7,29.4,30.2,24.9
15,24.2,25.1,23,32.1,34.1,30.5,33.8,33.2,32.4,31.2,28.8,24.4
16,23.9,25.2,25.8,32.4,32.2,32.2,31.6,33.6,32.9,31.5,30.4,25.5
17,25.5,27.4,27.4,32.5,28.1,32.4,30.8,34.7,33.5,32,31.3,22.1
18,27.1,27.8,27.8,31.3,29.2,32.7,33.3,35,32.4,31.6,32,22.5
19,28.7,26.6,28.9,34.9,30,32.3,33.8,34.8,31.1,29.8,25.3,22.3
20,24.2,28.9,29.8,32.8,30.7,32,33.7,34.7,31.9,31,28.5,22.5
21,22.7,26.6,31.3,31.7,32.9,32.8,33.9,31.7,33.5,27.2,29.1,22.4
22,21.8,29.5,28.4,27.5,32.3,33.2,29.2,30.8,33.7,29,29.2,24.4
23,22.6,27.3,29.8,25.3,32.6,33.2,32.1,32.8,33.6,28,25.5,26.2
24,22.4,26.1,27.4,29.9,32.1,33,33.6,31.5,33.6,28.5,24.5,27.6
25,24.3,27.3,30.2,31.5,30.8,33,33.5,33.4,34.1,28,26.6,21.8
26,23.6,25.7,23.4,32,31.2,33.1,33.9,30.1,34,29.8,28.3,24.4
27,25.6,24.4,26,31,30.9,33.5,34,31.7,33.9,28.5,28.2,24.2
28,26.3,27.3,25.2,22.9,30.3,32.7,33.8,33.5,33.3,29.3,29.7,25
29,27.6,-- ,27.5,28.4,31.4,34.3,30.3,33,34.2,28.1,30.3,25.7
30,28.1,-- ,28.3,28.9,30.1,32.9,29.9,32.9,32.7,26.6,30,25.2
31,22.5,-- ,30,-- ,32.3,-- ,30.8,29.9,-- ,27.9,-- ,22.9
