ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,21.2,22.7,26.1,31.5,31,32.2,33.4,33.8,32.7,32.4,30.2,28.7
2,21.6,25,25.9,30.8,31.7,32.5,33.4,33.3,33.1,31.8,27.8,27.8
3,23.3,25.8,28.8,31.1,31.2,32.4,33.6,33.8,33,31.8,29,26.2
4,25.1,24.3,26.3,32.4,30.9,32.7,35.6,33.3,33.7,32,30.8,24.3
5,27.1,22,27.6,32.6,31.5,32.6,33.6,33.1,32.4,32.2,31,27.1
6,27.9,21.9,27.5,27.5,31.5,32.4,31.8,32.9,32.3,31.7,31.9,29.3
7,24.6,22.6,29.6,29.3,31.4,33.4,29.5,32.9,32.2,31.7,31.9,25.3
8,20.4,22.2,29.3,25.5,31.8,33.2,30.3,29.9,31.1,31.9,31.9,26.8
9,22.2,20.4,29.1,29.1,32.6,33.5,34.1,31.5,31.4,31.6,31.7,25.7
10,23,21.7,21.9,29.1,33,33.9,31.9,32.8,31.8,30.8,28.7,26.5
11,23,23,25,26.5,30,33.4,31.4,33.8,31.8,29.9,28.2,27
12,21.9,24.1,24.8,27.9,32,33.8,32,33.1,32.8,27.5,29.3,27.4
13,24.1,23.6,27.6,26.9,32.4,34.1,32.4,33.2,31.3,28,31.2,27.8
14,24.2,23.9,29.5,27.3,31.9,34.2,32.9,33.7,31.9,29.5,31.5,29.3
15,22.2,25.9,29.9,27.9,31.7,34.2,32.2,33,33.7,29.7,28.4,26.6
16,24.6,28.6,28.7,30.3,31.9,34.1,32.1,33,32.5,30.8,31.3,23.5
17,21.5,27.2,27.9,31.9,31.8,34,32.9,31.8,32.5,29.6,30.7,20
18,22.7,25.6,29.2,31.3,32.2,33.7,30.9,33.5,31.8,29.8,32.1,23.3
19,21.2,24,29.8,31.5,32.4,34.5,28.8,33.4,31.3,27.7,30.7,25.5
20,22.7,25.1,29.5,30.9,32.9,34.6,30.9,33.9,31,25.9,29.7,26.8
21,24.5,24.9,29.9,29.8,27.7,33.9,32.3,34.1,31.8,25.9,27.1,28.9
22,23.5,27.5,27.5,29.1,28.1,33.7,31.8,30.3,32.9,28,30.2,28.6
23,22.1,28.3,27.8,29.7,27.5,33.2,32,32.6,32.6,29.4,30.1,31
24,23.4,27.1,26.3,30.1,29.1,33.3,31.5,33.4,32.4,31.2,29.1,29.8
25,25,29.8,25.1,29.8,28.3,32.9,32,31.1,31.2,29.4,29.2,26.7
26,26.6,29.4,26.8,30.1,28.6,33.4,32,32.2,31.3,28.4,23.6,27.5
27,25.3,29.3,28.4,31.6,31.3,33.7,31.8,31.2,31.3,29.3,21.5,28.3
28,23.8,29.4,27.7,30.9,31.4,33.6,32.2,30.9,28.5,29.8,26.3,24.6
29,25.3,-- ,29,30.3,31.9,33.9,32.3,30,31.1,30.2,28.8,24.9
30,25.3,-- ,30.2,31,32.3,32.9,32.9,30.3,31.6,31.1,28.3,26.7
31,22.7,-- ,30.9,-- ,32.5,-- ,32.9,30.7,-- ,29.4,-- ,25
