ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,24.8,29.9,26.8,29.2,27.1,32.6,32.1,32.7,32.8,32.4,31.7,27.2
2,23.1,23.7,27.2,31,26,31.5,32.1,32.6,31.8,32.3,25.9,25.1
3,25.6,18.8,28.5,27.1,31.2,32.7,27.7,31.9,29.9,31.8,26,26.1
4,22.3,19,27.9,28.6,30.3,32.8,29.5,29.5,31.2,30.6,26.3,26.7
5,25.5,21.1,30.2,28.6,28.3,31.5,31,27.3,32.3,27.4,28.2,28.7
6,27.1,23.1,30.6,27.2,25.6,28.5,32.6,28.7,32.6,27.2,28.4,25.2
7,23.7,24.9,27.7,27.7,25.4,31.1,30.8,28.2,32.6,27.1,28.7,22.8
8,21.8,26.7,27,26.9,29.1,31.8,31.3,28,31,29.1,29,24.5
9,22.3,25.8,28,29.7,25.5,32,30.1,28.4,32.3,30.4,29,25.7
10,23,25.8,29.9,32.3,24.3,31.7,31.6,32,32.5,32.1,27.6,26.5
11,22.7,28.2,25.2,28.4,29.2,32.1,30.9,28.7,33.8,32,29.7,26.1
12,21.9,21.5,28.4,29.9,30.4,32.5,32.1,29.2,30.1,31.5,28.7,26
13,23.6,21.3,29.6,28.5,30.5,32.7,31.9,31.4,28.3,31.6,27.6,28.1
14,26.5,23.7,29.1,26.9,30.8,32.2,32.2,31.4,29.7,31.7,28.7,25.3
15,23,26.2,29.4,28.6,29,31.9,31,31.8,30.4,31.3,27.5,23.2
16,20.1,26.7,26.5,32.9,31.4,32.1,31.1,31.9,29.7,27.6,25.1,24
17,21.9,27.3,29.2,31.2,31.9,31.8,32.2,32.3,31.6,25.4,27.6,23.9
18,26.6,27.8,31.8,31.1,32.3,31.5,32,32,32.3,26,25.3,23.3
19,29.1,21.9,32.4,31.6,32.5,30,30.4,32.8,32.3,27.7,28.2,19.7
20,25.1,22.4,31.4,32.8,27.4,31.9,33.1,28.6,29.7,26.2,25,18.4
21,23.6,23.3,28.8,33.1,31.8,32,33.9,30,30.5,28.2,28.5,20.2
22,24.9,26.1,24,31.1,32.3,32.8,31.3,32,31.3,29.9,29.9,17.4
23,28.1,27.2,28.2,30.4,32.8,31.7,31.8,32.8,30.9,29.8,29.3,20.8
24,27.2,26.9,30.6,31.6,31.8,31.6,32.4,32.1,29.5,28.5,29.4,22.2
25,28.1,28.3,31.9,30.5,32.8,31.7,31.2,31.8,26.4,29,29.1,19.4
26,25.9,29.5,31.5,29.7,32.3,32.3,30.4,31.9,29.6,29.8,26.8,18.8
27,28.4,29.3,32,28.7,29,32.7,31.7,31.8,30.9,28.6,27.8,24.1
28,27.3,23.6,29.7,29,31.5,32.6,31.1,31.9,31.8,30,27.8,27.1
29,25.4,-- ,30.2,23.9,28,32.8,31.4,31.6,31.6,30.5,21.3,26.5
30,26.1,-- ,26.2,21.4,30.6,32.5,30.8,32.1,31.3,30.1,24,28.3
31,27.9,-- ,27.6,-- ,30.8,-- ,33,32.1,-- ,31.4,-- ,24.8
