ค้/ค๋,1,2,3,4,5,6,7,8,9,10,11,12
1,20.2,26,28.3,30.9,30.2,33.2,31.8,29.2,32.1,32.1,29,22.4
2,22.7,25.9,27.4,31.1,32,34.7,31.8,29.2,32.5,32.5,28.7,24.4
3,24,24.4,25.6,31.6,28.4,35.4,32.1,29.9,32.2,31.6,29,23.2
4,26.1,25.3,27,28.6,30.8,32.9,32.5,29.6,33.4,31.8,28.9,23.3
5,26.1,25.1,28,24.6,32.4,28.5,32.1,29.7,29.8,31.6,29.5,24.9
6,23.8,27.2,29.7,24.3,33.1,28.6,31.3,29.9,32.2,30.6,31,26
7,21.3,27.5,29,26.8,32.8,31.8,32.3,29,32.7,29,30.1,24.9
8,18.5,26.7,27.3,27.7,32.5,30.4,32.2,28.3,32.6,30.7,30.7,25.2
9,16,23.6,27.3,27.4,32.9,32.9,32.5,30.8,32.5,30.8,24.8,24.7
10,20,23.3,26,29,32.7,31.8,32.6,29,33,31.7,25.3,24.4
11,22,26.7,27.6,29,33.2,31.7,33.1,31.7,29.1,29.7,25.6,26.6
12,17.5,24,28.8,30.7,33.5,32.5,32.8,30.8,30.4,29,24.5,26.6
13,21.1,24.9,27.2,31.2,33.5,32.8,33.3,29,31.4,28.8,26.6,25
14,22.6,24.5,26.9,29.1,33.3,32,33.7,30.4,31.6,28.4,26.6,23.7
15,24.1,24.7,29,29.9,34,32,29,31.7,32.2,30.2,27,26.2
16,24.6,24.8,29.4,29.5,32.9,31,32.6,32.9,31.5,30.2,28.2,27.2
17,21,24.3,31.1,30,33.5,32.2,33.1,32.8,32.7,27.8,27.4,26.9
18,21.4,20.4,30.6,27.7,32.9,31.7,33.5,32.2,32.5,27.8,29.3,21.2
19,22.2,22,29.8,27.4,33.7,30.3,32.8,32.6,32.1,29.5,29.9,22.1
20,24,23.5,30.8,X ,33,31.4,30.5,32.6,32.7,29.8,27.3,22.7
21,25.3,24.9,29,30.3,33.7,31.1,32.1,32,32.1,30.8,28.6,26.5
22,25.7,27.1,23,29.9,33.3,29.1,31.9,32,32.4,28.3,29.1,25.3
23,27,24.9,23.6,30.2,34,29.9,30.6,32.8,32.8,26.8,24.8,26.5
24,24.9,26.6,24.7,29.8,34.1,30.4,31.7,31.6,32.5,29.7,25.1,28.1
25,24.2,27.5,26,26.3,33.7,30.8,32.1,32.6,31.9,29.2,23.9,24.1
26,27.1,28.4,28.6,26.2,33.4,30.7,31.9,31.4,32.3,29.3,27.1,22.2
27,23.8,27,30,28.3,33.7,27,32.6,33,33,29.1,25.3,21.2
28,25.6,28.2,30.2,29.9,33.4,30.6,28.9,31.8,32.5,27.8,23.9,23.3
29,20,-- ,29.5,27.9,33.3,31.7,31.5,32.4,32,28.6,23.7,26.2
30,22.9,-- ,29.8,29.3,32.7,31.4,30.7,28.5,32.2,29.4,27.3,22.3
31,24.2,-- ,30.2,-- ,31.2,-- ,28.9,30.3,-- ,28.6,-- ,23.7
